str_no_string|NO STRING!{***}
str_oim_ms_construct_party_has_certain_officer|You need to hire {s30} first.{***}
str_oim_ms_construct_party_has_certain_officers|First you must hire {s31}{***}
str_oim_ms_price_log|Stub{***}
str_oim_ms_construct_time|Stub{***}
str_oim_mnu_ms_additional_school|Stub{***}
str_oim_mnu_ms_additional_merchant_guild|Stub{***}
str_oim_mnu_ms_additional_extra_goods|Stub{***}
str_oim_mnu_ms_additional_adviser|Stub{***}
str_oim_mnu_ms_additional_officer|Stub{***}
str_oim_slot_ms_script_looted|Stub{***}
str_oim_script_ms_event_raise_taxes|Stub{***}
str_oim_script_ms_event_change_prosperity|Stub{***}
str_oim_script_ms_event_raise_taxes_week|Stub{***}
str_oim_script_ms_event_notification_about_gold_usage|Stub{***}
str_oim_fleet_details|Fleet report:{***}
str_mp_new_1|Tatar town{***}
str_mp_new_2|Fortified town{***}
str_mp_new_3|Trenches{***}
str_all_fire_now|Everyone, Fire!{***}
str_left_fire_now|Left Flank, Fire!{***}
str_middle_fire_now|Center, Fire!{***}
str_right_fire_now|Right Flank, Fire!{***}
str_fire_at_my_command|Fire At My Command{***}
str_use_melee_weapons|Use Melee Weapons{***}
str_use_ranged_weapons|Use Ranged Weapons{***}
str_melee_weapons|Melee Weapons{***}
str_ranged_weapons|Ranged Weapons{***}
str_formation|Formation{***}
str_very_tight|Very Tight{***}
str_tight|Tight{***}
str_loose|Loose{***}
str_very_loose|Very Loose{***}
str_form_1_row|Form 1 Row{***}
str_form_reg0_rows|Form {reg0} Rows{***}
str_ccoop_next_wave_in_reg0_seconds|A total of {reg1} new soldiers are incoming in {reg0} seconds...{***}
str_ccoop_change_map_in_reg0_seconds|Map change in {reg0} seconds...{***}
str_percent_5_tax_is_paid|You've paid {reg2} piastres - 5% of total profit - as a tax. Purchase a trade patent to be relieved of this tax in future.{***}
str_percent_10_tax_is_paid|You've paid {reg2} piastres - 10% of total profit - as a tax. Purchase a trade patent to be relieved of this tax in future.{***}
str_you_are_weak_take_these_men_with_you|I see your party is pretty undermanned. Take these two men along with you.{***}
str_meeting_with_thieves|When you enter the village, you see a group of bandits stealing the cattle. When they spot you, they drop their occupation and advance towards you.{***}
str_oim_hunt_down_thieves_explanation|The elder of the village of {s3} asked you to hunt down thieves at midnight.{***}
str_oim_get_feast_supplies_explanation|The elder of the village of {s3} asked you to bring him 5 units of ale, 5 units of grape, 1 unit of wine, 1 unit of vodka and 1 unit of shag.{***}
str_mp_add_troop|Add / Remove{***}
str_mp_squad|Squad{***}
str_mp_squad_req_size_reg0|Requested: {reg0}{***}
str_mp_squad_active_size_reg0|Active: {reg0}{***}
str_squad_cost_reg0|Squad cost: {reg0}{***}
str_item_cost_reg0|Item cost: {reg0}{***}
str_next_wave_in_reg0_mins|Next wave in {reg0} minutes...{***}
str_wave_info|WAVE INFO{***}
str_wave_no_reg1|Wave No: #{reg1}{***}
str_veteran_wave_no_reg1|Veteran Wave No: #{reg1}{***}
str_elite_wave_no_reg1|Elite Wave No: #{reg1}{***}
str_time_left_reg2_mins_reg1_secs|Time Left: {reg2} minutes and {reg1} seconds{***}
str_time_left_reg1_secs|Time Left: {reg1} seconds{***}
str_enemies_reg1_total_reg2_arriving|Enemies: {reg1} Alive, {reg2} Arriving{***}
str_ccoop_enemy_info|{reg4} {s0} ({reg3} arriving){***}
str_oim_black_hetman_failed|With the loss of your temporary capital, the chance of the uprising to triumph were next to zero. All is lost.{***}
str_squad_size_for_captains|Squad size for captains:{***}
str_captain_merc_ratio|Captain / Mercenary ratio:{***}
str_1_div|1 /{***}
str_accompany|Accompany{***}
str_reg2_s1_s2_s2|{reg2?{s1}, {s2}:{s2}}{***}
str_reg2_s1_and_s2_s2|{reg2?{s1} and {s2}:{s2}}{***}
str_give_the_money_you_took_from_s9_to_s10|Give the money you took from {s9} to {s10}.{***}
str_men|men{***}
str_you_have_taken_all_infantry|Haha! Sir, you've taken all my infantry already. Will there be anything else?{***}
str_you_have_taken_all_musketeer|Haha! Sir, you've taken all my musketeers already. Will there be anything else?{***}
str_you_have_taken_all_cavalry|Haha! Sir, you've taken all my cavalry already. Will there be anything else?{***}
str_price_there_known|{s1}, ({s2} costs {reg1} piastres in there){***}
str_price_there_unknown|{s1}{***}
str_your_troops_are_dying_because_of_illness|Your troops are dying because of illness!{***}
str_has_died_because_of_illness|has died because of {s4}.{***}
str_have_died_because_of_illness|have died because of {s4}.{***}
str_a_s1_has_been_killed|A {s1} has been killed.{***}
str_ccoop_wave_reg1_is_coming_in_reg0_seconds|Wave {reg1} will arrive in {reg0} seconds{***}
str_ccoop_veteran_wave_reg1_is_coming_in_reg0_seconds|Veteran wave {reg1} will arrive in {reg0} seconds{***}
str_ccoop_elite_wave_reg1_is_coming_in_reg0_seconds|Elite wave {reg1} will arrive in {reg0} seconds{***}
str_prison_cart_hint|TODO: Destroy the prison cart or clear the round to rescue dead players{***}
str_wave_reg1|Wave {reg1}{***}
str_veteran_wave_hint|Beware: Veterans have increased numbers and health and do %30 more damage!{***}
str_elite_wave_hint|Beware: Elites have much more increased numbers and health and do %50 more damage!{***}
str_ask_for_help_to_respawn_hint|TODO: You can respawn if the prison cart is destroyed or round is cleared (Note that cart can be destroyer once per round){***}
str_wait_for_next_turn_to_respawn_hint|TODO: You will be respawned on the next round{***}
str_mp_cbf_squad_auto_ratio|Auto Balance Captain Squad Ratio{***}
str_gun_no_guns|No cannons{***}
str_crew_lvl_low_shop|Hire anyone.{***}
str_crew_lvl_norm_shop|Hire trained crew.{***}
str_crew_lvl_high_shop|Hire skilled crew.{***}
str_crew_lvl_elite_shop|Hire sea wolves.{***}
str_mercs_items_upgr_descr|This will give you an option to equip more advanced armor and weapons.{***}
str_mercs_fighting_upgr_descr|Having a good sword is only a half of an advantage in the battle. Knowing how to hold it, that's what makes the second half.{***}
str_mercs_riding_upgr_descr|What use are good horses, if the horsemen don't know how to ride them?{***}
str_mercs_firing_upgr_descr|Pointing a musket in the general direction of an enemy seems simple enough, but maintaining a good rate of fire requires a lot of practice.{***}
str_mercs_upgr_descr_end|End of mercenaries description.{***}
str_oim_merc_england|English{***}
str_oim_merc_spainish|Spanish{***}
str_oim_merc_franch|French{***}
str_oim_merc_dutch|Dutch{***}
str_oim_merc_pirate|Brotherhood{***}
str_oim_skill_level_text_descr|hopeless{***}
str_oim_skill_level2_text_descr|basic{***}
str_oim_skill_level3_text_descr|good{***}
str_oim_skill_level4_text_descr|superior{***}
str_sub_treasure_desc_1|The Sunken Galleon{***}
str_sub_treasure_desc_2|The Cache of Pizarro{***}
str_sub_treasure_desc_3|Eldorado{***}
str_sub_treasure_desc_4|The Scottish Crown{***}
str_sub_treasure_desc_5|Blood Money{***}
str_sub_treasure_desc_6|The Ghost Village{***}
str_sub_treasure_desc_7|The Secrets of the Maya{***}
str_sub_treasure_desc_8|The Dead Man Chest{***}
str_sub_treasure_desc_9|The Hetman's Hoard{***}
str_sub_treasure_desc_10|The Lost Silver Mine{***}
str_sub_treasure_desc_11|The Price of the Mass{***}
str_sub_treasure_desc_12|The Templar Treasure{***}
str_main_treasure_desc|The Fountain of Youth{***}
str_sub_treasure_hunt_1|Tributore found a map marking the shipwreck of a Spanish galleon loaded with silver and gold. The galleon sank off the shores of Hispaniola.{***}
str_sub_treasure_hunt_2|Alba brought me a map supposedly marking a location where Francisco Pizarro, the conqueror of the Incas, buried the treasures he had plundered. The cache is hidden somewhere in the Andes, up the Magdalena river, that flows into the sea near Cartagena.{***}
str_sub_treasure_hunt_3|The map won by Incosa supposedly displays the entrance to a hidden route to Eldorado. The mad Aguirre sought this legendary Land of Gold by the headwaters of the Orinoco, which flows into the sea south of Port of Spain on the island of Trinidad.{***}
str_sub_treasure_hunt_4|The crown of Scotland that Gordon is so obsessed with is supposedly hidden in the middle of Cuba.{***}
str_sub_treasure_hunt_5|Juba seems adamant that the map he has found marks the treasure of Dutch slavers. If that is true, it must be around their island holdings on Curacao and Aruba.{***}
str_sub_treasure_hunt_6|The spirits have convinced Chibchan that the abandoned Huguenot village must be somewhere on Martinique, where the French first established their presence in the New World by building St. Pierre.{***}
str_sub_treasure_hunt_7|The legends that Mayan descendants told to Gober speak of the treasures hidden deep on the Yucatan peninsula, probably not that far from Campeche or Belize.{***}
str_sub_treasure_hunt_8|If the pirate slain by Kirk did not lie, the famed pirate captain Flint buried his treasures somewhere on the Bahamas, not too far from Nassau.{***}
str_sub_treasure_hunt_9|If Bogdan's fellow countrymen are to be believed, the mysteriously missing treasure of the hetman, Pavlo Polubotok, must be hidden on Jamaica, right under the nose of Port Royal's buccaneers.{***}
str_sub_treasure_hunt_10|I might be just the person to discover the secret silver mine of Van Hoorn. Vanhouten swears it should be on the isthmus of Panama, somewhere southeast of Nombre de Dios.{***}
str_sub_treasure_hunt_11|Frogling says that the governor of Barbados has earned a fortune ransoming the English catholic convicts to the Spaniards. His gold should be hidden somewhere east of Cumana.{***}
str_sub_treasure_hunt_12|It is hard to believe that Templar refugees managed to reach the Caribbean two centuries before Columbus. They might have been led by Baphomet indeed, but, in the end, the demon didn't lead them to anything good. Lamore claims the last Templar galley wrecked on the shores of Guadeloupe, east of Basse Terre.{***}
str_main_treasure_hunt|The fragments of the map have clicked together - this is a key supposedly showing the way to the mythic Fountain of Youth. The conquistador, Juan Ponce de Leon, who drew this map a century and half ago, believed the Fountain to be on the peninsula of Florida, west of the modern town of San Agustin.{***}
str_sub_treasure_menu_1|If you look hard enough, you can indeed make out the shadow of the mighty hull of a galleon several yards beneath the surface. That must be 'Nuestra Seniora de la Concepcion' with her countless treasures aboard.{***}
str_sub_treasure_menu_2|It appears this is the place marked on Alba's map. After a century, everything is overgrown with thickets. Finding the cache will take a lot of hard work with shovels and picks.{***}
str_sub_treasure_menu_3|The cave narrows into a natural tunnel, caved in just a few yards further down. You can't tell how deep the cave-in goes. It could last a few feet, or a mile, or more.{***}
str_sub_treasure_menu_4|This odd mound looks like a possible hiding place for the Royal Regalia of Scotland. All that is left is the trifling task of finding them underneath a few tons of soil.{***}
str_sub_treasure_menu_5|This clearing obviously used to be a slaver camp, large enough for hundreds of slaves and their Dutch wardens. Judging by the burnt husks of building and scattered bones, one day the wardens' vigilance slipped. The treasures of the slavers may still remain somewhere in the ruins. It's just a matter of finding them...{***}
str_sub_treasure_menu_6|Some overgrown ruins are all that remains from the first Huguenot colony. Somewhere in these ruins, the treasures they brought from overseas might still rest.{***}
str_sub_treasure_menu_7|The Maya ziggurats have long crumbled, but their immense size is still astounding. It could take years to find anything of value in here.{***}
str_sub_treasure_menu_8|Fifteen skeletons scattered about the clearing make a telling sign of Flint's cache, so long as the legend is to be believed. Might just as well begin digging.{***}
str_sub_treasure_menu_9|This place looks just like Bogdan's mates were describing. And lo, a broken sabre of typical Eastern design! A hundred stones of gold, just a few feet away - a-digging we shall go!{***}
str_sub_treasure_menu_10|This rough-cut tunnel with wooden supports is obviously of artificial nature. Too bad it caved in right beyond the entrance. The digging may cause further collapse...{***}
str_sub_treasure_menu_11|It seems the map stolen by Frogling marks this very spot. Give or take a few hundred yards. If you're up for digging out the governor's treasure, you're better off starting right now, so as to finish in time for Christmas.{***}
str_sub_treasure_menu_12|It is hard to say whether these darkening blots underneath are indeed the remains of a medieval galley, buried in silt for three centuries and half. There is only one way to know for sure...{***}
str_sub_treasure_found_1|Suddenly, one of the divers brings wonderful news: he discovered a chest in the rubble! With a lot of effort, a group of soldiers pulls it out of the water - likely the sole spoil of your searches. Prying the rotten lid off, you behold neatly stacked bullions of gleaming silver!{***}
str_sub_treasure_found_2|At the end, one of the soldiers has a stroke of good luck: his shovel hits against some rotten wood. Half an hour of frantic digging later, you behold an old, rotten chest. Prying the lid away, you see a sizable pile of crude gold trinkets.{***}
str_sub_treasure_found_3|Shoving another boulder aside, your tired soldiers discover a crushed skeleton in old Spanish armor. His rusty helmet and a few piastres are all that is to be found in here. Looks like the passage to Eldorado is buried for hundreds of yards ahead, and you should let go of your dream of 'The Land of Gold'. The hopes of your soldiers are utterly crushed.{***}
str_sub_treasure_found_4|After many hours of digging, a soldier's shovel makes a dull thud against something wooden. The joy of the crew is short-lived, though - the unearthed barrel gurgles instead of jingles and moreover smells strongly of alcohol. A Scottish treasure, indeed! Seldom has a cask full of aged whiskey been received with so little joy.^Beside the cask, the soldiers discover an old but true Scottish blade.{***}
str_sub_treasure_found_5|A soldier has discovered some empty space while knocking against a wall of the estate. Picks and crowbars are let loose on the spot, and, sure enough, a few minutes later the cache gives in, releasing a stream of gold coins.{***}
str_sub_treasure_found_6|A soldier has discovered some empty space while knocking against a wall of a ruined house. Picks and crowbars are let loose on the spot, and sure enough, a few minutes later the cache gives in, releasing a stream of silver coins.{***}
str_sub_treasure_found_7|After many hours of searching, the soldiers discover a half-buried heathen temple. Scattered among the unholy idols, you find some gold figurines, as well as some precious offerings.{***}
str_sub_treasure_found_8|A thud of a shovel against the wood sounds like a music to your ears. Digging with their bare hands, the crew quickly unearths a small coffer. Inside you find a small fortune in silver and gold, yo-ho-ho, and a bottle of rum.{***}
str_sub_treasure_found_9|The shovels strike wood, and your soldiers charge the oaken lid protecting the treasure of Hetman Polubotok with the ferocity of true Cossacks. Shockingly, the only thing they find within is a well-preserved sabre.{***}
str_sub_treasure_found_10|After many hours of digging, you realize you can't unearth the silver of Van Hoorn without a fulltime mining expedition. All you have found is several ingots buried underneath an overturned trolley.{***}
str_sub_treasure_found_11|It took a lot of sweat, but your soldiers managed to find the governor's stash. He earned a nice chunk of gold, it seems - the Spaniards must pay well for their brothers in faith.{***}
str_sub_treasure_found_12|Centuries underwater have ruined the ancient vessel utterly, safely burying its contents. Yet, one diver makes a wondrous and startling discovery: a gold idol of Baphomet himself! A goat-headed figurine with its left hand raised and its right lowered floated as if by itself out of the silt and straight into his arms. The superstitious crew forgets all about the gold and demands you to throw the satanic idol back into the sea.{***}
str_map_top_text_1|Th...{***}
str_map_top_text_2|...e F...{***}
str_map_top_text_3|...o...{***}
str_map_top_text_4|...un...{***}
str_map_top_text_5|...t...{***}
str_map_top_text_6|...a...{***}
str_map_top_text_7|...i...{***}
str_map_top_text_8|...n o...{***}
str_map_top_text_9|...f Y...{***}
str_map_top_text_10|...o...{***}
str_map_top_text_11|...ut...{***}
str_map_top_text_12|...h{***}
str_map_bottom_text_1|Pr...{***}
str_map_bottom_text_2|...op...{***}
str_map_bottom_text_3|..ert...{***}
str_map_bottom_text_4|...y o...{***}
str_map_bottom_text_5|...f J...{***}
str_map_bottom_text_6|...ua...{***}
str_map_bottom_text_7|...n P...{***}
str_map_bottom_text_8|...on...{***}
str_map_bottom_text_9|...ce...{***}
str_map_bottom_text_10|...de...{***}
str_map_bottom_text_11|...Le...{***}
str_map_bottom_text_12|...on{***}
str_sub_treasure_share_1|The crew is jubilant they found the treasure, even if they dreamed of much bigger loot than a single chest.^Beneath the bullion, you find an oiled package with a piece of old map inside. You can make out an inscription 'Th...', and then 'Pr...' below.{***}
str_sub_treasure_share_2|The treasures hidden by Pizarro weren't particularly amazing, but the crew is glad anyway.^On the bottom of the chest you find an oiled package with a piece of old map inside. You can make out an inscription '...e F...', and then '...op...' below.{***}
str_sub_treasure_share_3|The crew is still disappointed, but your compassion and generosity have somewhat lifted their spirits.^Searching the skeleton thoroughly, you find an oiled package with a piece of old map inside. You can make out an inscription '...o...', and then '..ert...' below.{***}
str_sub_treasure_share_4|The crew is still disappointed, but your compassion and generosity - as well as you finding the cask guilty and sentencing it to death by consumption, effective immediately - have somewhat lifted their spirits.^Examining the pit again, you find an oiled package with a piece of old map inside. You can make out an inscription '...un...', and then '...y o...' below.{***}
str_sub_treasure_share_5|The slavers had stored a sizable fortune here, now possessed by the worthier owners. The crew toasts your health.^Deep inside the cache you find an oiled package with a piece of old map inside. You can make out an inscription '...t...', and then '...f J...' below.{***}
str_sub_treasure_share_6|The crewmen count their silver toasting to the memory of the perished Huguenots.^Deep inside the cache you find an oiled package with a piece of old map inside. You can make out an inscription '...a...', and then '...ua...' below.{***}
str_sub_treasure_share_7|You share the spoils more or less equally, and the soldiers are happy with the outcome.^Deeper within, you find a skeleton in decayed tatters of clearly European origin sprawled about the brown-stained altar. Searching the skeleton thoroughly, you find an oiled package with a piece of old map inside. You can make out an inscription '...i...', and then '...n P...' below.{***}
str_sub_treasure_share_8|The soldiers gladly take their share of treasures and rum, and yo-ho-ho you keep as a memento.^On the bottom of the coffer you find an oiled package with a piece of old map inside. You can make out an inscription '...n o...', and then '...on...' below.{***}
str_sub_treasure_share_9|The crew is still disappointed, but your compassion and generosity have somewhat lifted their spirits.^Examining the pit again, you find an oiled package with a piece of old map inside. You can make out an inscription '...f Y...', and then '...ce...' below.{***}
str_sub_treasure_share_10|The crew is still disappointed, but your compassion and generosity have somewhat lifted their spirits.^Examining the dig for the last time, you find an oiled package with a piece of old map inside. You can make out an inscription '...o...', and then '...de...' below.{***}
str_sub_treasure_share_11|The crewmen count their coins happily, discussing a dozen or more massive plots to capture more Catholics.^Deep inside the cache you find an oiled package with a piece of old map inside. You can make out an inscription '...ut...', and then '...Le...' below.{***}
str_sub_treasure_share_12|The money calms down the less superstitious crewmen, but most of the crew grow even more agitated, refusing their pay.^Examining the figurine, you find a secret compartment in its base. Within you find an oiled package with a piece of old map inside. You can make out an inscription '...h', and then '...on' below. Weird. How could it get in there?{***}
str_sub_treasure_keep_1|The crew is enraged to be left with nothing after all they have gone through. ^Beneath the bullion, you find an oiled package with a piece of old map inside. You can make out an inscription 'Th...', and then 'Pr...' below.{***}
str_sub_treasure_keep_2|The crew is enraged to be left with nothing after all they have gone through.^On the bottom of the chest you find an oiled package with a piece of old map inside. You can make out an inscription '...e F...', and then '...op...' below.{***}
str_sub_treasure_keep_3|Your indifference incenses the crew even more.^Searching the skeleton thoroughly, you find an oiled package with a piece of old map inside. You can make out an inscription '...o...', and then '..ert...' below.{***}
str_sub_treasure_keep_4|It's hard to tell what hurts the soldiers' feelings more: your indifference or the fact that the cask went to your baggage still sealed.^Examining the pit again, you find an oiled package with a piece of old map inside. You can make out an inscription '...un...', and then '...y o...' below.{***}
str_sub_treasure_keep_5|The crew is enraged to be left with nothing after all they have gone through.^Deep inside the cache you find an oiled package with a piece of old map inside. You can make out an inscription '...t...', and then '...f J...' below.{***}
str_sub_treasure_keep_6|The crew is enraged to be left with nothing after all they have gone through.^Deep inside the cache you find an oiled package with a piece of old map inside. You can make out an inscription '...a...', and then '...ua...' below.{***}
str_sub_treasure_keep_7|The crew is enraged to be left with nothing after all they have gone through.^Deeper within, you find a skeleton in decayed tatters of clearly European origin sprawled about the brown-stained altar. Searching the skeleton thoroughly, you find an oiled package with a piece of old map inside. You can make out an inscription '...i...', and then '...n P...' below.{***}
str_sub_treasure_keep_8|The crew has to settle with rum and yo-ho-ho. The fact they aren't happy at all goes without mention.^On the bottom of the coffer you find an oiled package with a piece of old map inside. You can make out an inscription '...n o...', and then '...on...' below.{***}
str_sub_treasure_keep_9|The crew is enraged to be left with nothing after all they have gone through.^Examining the pit again, you find an oiled package with a piece of old map inside. You can make out an inscription '...f Y...', and then '...ce...' below.{***}
str_sub_treasure_keep_10|The crew is enraged to be left with nothing after all they have gone through.^Examining the dig for the last time, you find an oiled package with a piece of old map inside. You can make out an inscription '...o...', and then '...de...' below.{***}
str_sub_treasure_keep_11|The crew is enraged to be left with nothing after all they have gone through. Some swear never to take the Papists prisoner again, blaming you for their death in advance.^Deep inside the cache you find an oiled package with a piece of old map inside. You can make out an inscription '...ut...', and then '...Le...' below.{***}
str_sub_treasure_keep_12|Your decision pushes the superstitious crew to the edge of mutiny. Many swear to desert the 'damned ship' at the next port of call.^Examining the figurine, you find a secret compartment in its base. Within you find an oiled package with a piece of old map inside. You can make out an inscription '...h', and then '...on' below. Weird. How could it get in there?{***}
str_sub_treasure_toss_12|Your decision calms the crew somewhat.^Examining the figurine, you find a secret compartment in its base. Within you find an oiled package with a piece of old map inside. You can make out an inscription '...h', and then '...on' below. Weird. How could it get in there? No matter, though - as promised, you throw the satanic idol far into the sea.{***}
str_share_your_loot_with_the_crew|Share your loot with the crew.{***}
str_keep_it_all_to_yourself|Keep it all to yourself.{***}
str_oim_event_1_main_text|main text{***}
str_oim_event_1_answer_1|main text{***}
str_oim_event_1_answer_2|main text{***}
str_oim_event_1_answer_3|main text{***}
str_oim_event_2_main_text|main text{***}
str_oim_event_2_answer_1|main text{***}
str_oim_event_2_answer_2|main text{***}
str_oim_event_2_answer_3|main text{***}
str_oim_event_3_main_text|main text{***}
str_oim_event_3_answer_1|main text{***}
str_oim_event_3_answer_2|main text{***}
str_oim_event_3_answer_3|main text{***}
str_oim_event_3_answer_4|main text{***}
str_oim_event_4_main_text|main text{***}
str_oim_event_4_answer_1|main text{***}
str_oim_event_4_answer_2|main text{***}
str_oim_event_4_answer_3|main text{***}
str_oim_event_5_main_text|main text{***}
str_oim_event_5_answer_1|main text{***}
str_oim_event_5_answer_2|main text{***}
str_oim_event_5_answer_3|main text{***}
str_oim_event_6_main_text|main text{***}
str_oim_event_6_answer_1|main text{***}
str_oim_event_7_main_text|main text{***}
str_oim_event_7_answer_1|main text{***}
str_oim_event_7_answer_2|main text{***}
str_oim_event_7_answer_3|main text{***}
str_oim_event_8_main_text|main text{***}
str_oim_event_8_answer_1|main text{***}
str_oim_event_9_main_text|main text{***}
str_oim_event_9_answer_1|main text{***}
str_oim_event_9_answer_2|main text{***}
str_oim_event_10_main_text|main text{***}
str_oim_event_10_answer_1|main text{***}
str_oim_event_10_answer_2|main text{***}
str_oim_event_11_main_text|main text{***}
str_oim_event_11_answer_1|main text{***}
str_oim_event_11_answer_2|main text{***}
str_oim_event_12_main_text|main text{***}
str_oim_event_12_answer_1|main text{***}
str_oim_event_12_answer_2|main text{***}
str_oim_event_12_answer_3|main text{***}
str_oim_event_12_answer_4|main text{***}
str_oim_event_13_main_text|main text{***}
str_oim_event_13_answer_1|main text{***}
str_oim_event_13_answer_2|main text{***}
str_oim_event_14_main_text|main text{***}
str_oim_event_14_answer_1|main text{***}
str_oim_event_15_main_text|main text{***}
str_oim_event_15_answer_1|main text{***}
str_oim_event_16_main_text|main text{***}
str_oim_event_16_answer_1|main text{***}
str_oim_event_16_answer_2|main text{***}
str_oim_event_17_main_text|main text{***}
str_oim_event_17_answer_1|main text{***}
str_oim_event_18_main_text|main text{***}
str_oim_event_18_answer_1|main text{***}
str_oim_event_19_main_text|main text{***}
str_oim_event_19_answer_1|main text{***}
str_oim_event_19_answer_2|main text{***}
str_oim_event_20_main_text|main text{***}
str_oim_event_20_answer_1|main text{***}
str_oim_event_21_main_text|main text{***}
str_oim_event_21_answer_1|main text{***}
str_oim_event_22_main_text|main text{***}
str_oim_event_22_answer_1|main text{***}
str_oim_event_22_answer_2|main text{***}
str_oim_event_22_answer_3|main text{***}
str_oim_event_23_main_text|main text{***}
str_oim_event_23_answer_1|main text{***}
str_oim_event_23_answer_2|main text{***}
str_oim_event_23_answer_3|main text{***}
str_oim_event_24_main_text|main text{***}
str_oim_event_24_answer_1|main text{***}
str_oim_event_24_answer_2|main text{***}
str_oim_event_24_answer_3|main text{***}
str_oim_event_25_main_text|main text{***}
str_oim_event_25_answer_1|main text{***}
str_oim_event_25_answer_2|main text{***}
str_oim_event_25_answer_3|main text{***}
str_oim_event_26_main_text|main text{***}
str_oim_event_26_answer_1|main text{***}
str_oim_event_26_answer_2|main text{***}
str_oim_event_26_answer_3|main text{***}
str_oim_event_27_main_text|main text{***}
str_oim_event_27_answer_1|main text{***}
str_oim_event_27_answer_2|main text{***}
str_oim_event_27_answer_3|main text{***}
