dlga_companion_quitting_persuasion:companion_quitting_response|Sorry, but I fail to see your point. I am leaving, whether you like it or not.{***}
dlga_companion_quitting_response:companion_quitting_no|CHEAT -- We hang deserters in this company.{***}
dlga_companion_quitting_no:companion_quitting_no_confirm|Did I mishear you? You could not have been threatening me, could you?{***}
dlga_companion_quitting_no_confirm:companion_quitting_no_confirmed|Absolutely. You either leave this company by my command, or stay for the crows to feast upon.{***}
dlga_companion_quitting_no_confirmed:close_window|Hm. I guess I'm staying, then...{***}
dlga_companion_quitting_no_confirm:companion_quitting_yes|Actually, no, I didn't really mean that. You are free to go.{***}
dlga_companion_quitting_no:companion_quitting_no_confirm.1|Oh... Right... Do you mean that?{***}
dlga_dplmc_companion_quitting_persuasion_1:dplmc_companion_quitting_persuasion_bribe|Would {reg0} piastres convince you to remain a while longer?{***}
dlga_dplmc_companion_quitting_persuasion_bribe:close_window|Hmmmm, all right. I guess I can stick around for a while, see if things improve.{***}
dlga_dplmc_companion_quitting_persuasion_1:companion_quitting_response|Actually, nevermind.  I meant to say something else.{***}
dlga_dplmc_companion_quitting_persuasion_start:dplmc_companion_quitting_persuasion_1.1|I'm listening.{***}
dlga_start:prisoner_chat|Not shown!{***}
dlga_prisoner_chat:prisoner_chat_2|Keep your hands where I can see them. I am watching you.{***}
dlga_prisoner_chat_2:close_window|No, I swear I won't.{***}
dlga_start:oim_caravan_master_dlg|Not shown!{***}
dlga_oim_caravan_master_dlg:close_window|Let's get moving!{***}
dlga_start:town_guard_1|You! Stand there and keep your hands where I can see them! Gentlemen, search this {man/woman} and seize {his/her} weapons.{***}
dlga_town_guard_1:town_guard_2|This must be a misunderstanding, Sergeant. You mistake me for someone else...{***}
dlga_town_guard_2:town_guard_3|Silence! You are charged with associating with a villain known by the name of Francois the Legalist, and conspiring to commit piracy. We hang your kind here in {s2}, and hang you shall! Take {him/her} to the dungeons, men!{***}
dlga_town_guard_3:close_window|B-but... but...{***}
dlga_start:camp03jorge00_|Buenos tardes, my friend. 'Tis good to enjoy a good company this last eve.{***}
dlga_camp03jorge00_:camp03jorge01|Considering the dark in here, I'd say buenos noches instead. Why do you think this evening is going to be your last?{***}
dlga_camp03jorge01:camp03jorge01_|Ha-ha, that's true, senor. Dark indeed. You are new in {s2}, are you not?{***}
dlga_camp03jorge01_:camp03jorge02|Never been here before. And I hope I'll never have to suffer the local hospitality again.{***}
dlga_camp03jorge02:camp03jorge02_|That will be arranged, {senor/senora}... You'll never see this city again, nor any other for that matter. You see, friend, this eve is going be a last for you either.{***}
dlga_camp03jorge02_:camp03jorge03|Wha...?{***}
dlga_camp03jorge03:camp03jorge03_|Si, senor. An execution is scheduled at dawn. I have a long history of crossing the Crown; as for you, you are going to be charged with piracy and espionage. Unless, of course, we make a prison break.{***}
dlga_camp03jorge03_:camp03jorge04|Prison break? How?{***}
dlga_camp03jorge04:camp03jorge04_|Easily enough. We'll kill the wardens. The guards outside the prison have been bribed and are already carousing in a tavern nearby. The doors to our cells are unlocked, my sword is here with me, and you'll find a cutlass slipped in by the sergeant's men. So are you with me, senor?{***}
dlga_camp03jorge04_:close_window|Hold on, the guards were bribed? And there is a cutlass indeed... Were you sitting here waiting for me all along? This looks a bit staged... Whatever, let's discuss it once we make it out.{***}
dlga_camp03jorge02_:camp03jorge05|You seem very unperturbed for a man on a death row. By the way, my name is...{***}
dlga_camp03jorge05:camp03jorge05_|I don't need your name, senor. I know enough about you. As for my name, it's Jorge Francisco Isidoro Luis Acevedo. Don't bother trying to memorize it, Jorge is just fine. By the way, care to make it out of here?{***}
dlga_camp03jorge05_:camp03jorge04|Gladly. How do you plan to walk out?{***}
dlga_start:camp04jorge00_|You are pretty good with that cutlass, senor.^^By the way, I have a business proposal for you. Would you mind joining a certain endeavor?{***}
dlga_camp04jorge00_:camp04jorge01|I might be. What's the catch?{***}
dlga_camp04jorge01:camp04jorge02|I know you have encountered a certain Francois shortly before ending up in that dank hole where we have met. Did he mention a sobriquet he goes by in these parts?{***}
dlga_camp04jorge02:camp04jorge03|Francois the Legalist, that's how he's called. A man of great intellect and many mysteries. It would do good for you not to associate with the likes of him, senor. My proposal will be of a different nature than his.{***}
dlga_camp04jorge03:camp04jorge03_|The 'treasure' he rambles on about is merely a myth dwelling within that smartass head of his. Me, I speak of values no king could dream of claiming. And also about a voucher for a schooner waiting on the wharves of Petit Goave. Still eager to know more?{***}
dlga_camp04jorge03_:camp04jorge04|Free ship? Dear senor, I can only surmise you must be too rich to pursue treasures.{***}
dlga_camp04jorge04:camp04jorge04_|Oh, I suspect one schooner won't make it, we'd need an entire fleet. The treasure I speak of is of a special sort, no vulgar caches of old Flint or whatever the town loonies are babbling about. So what is your answer, senor?{***}
dlga_camp04jorge04_:camp04jorge04a1|Riveting tale, my friend...{***}
dlga_camp04jorge04a1:camp04jorge05|Riveting tale, my friend. But shouldn't we find a better place to discuss the details? Mind you, we are standing knee deep in the bodies of wardens, and their comrades might not end up as corrupt as we like to believe.{***}
dlga_camp04jorge04_:camp04jorge04b1|Apologies, old man, but the answer is no...{***}
dlga_camp04jorge04b1:camp04jorge05|Apologies, old man, but the answer is no. I arrived in the Caribbean to live a life of my own, not to perform in badly designed stage plays. And dangerous ones to boot.{***}
dlga_camp04jorge05:close_window|So be it. For now let us leave this sordid place. An assistant of mine is waiting outside, he will escort us out of this city.{***}
dlga_camp04jorge03_:camp04jorge03b1|I am afraid I'll have to reject your gracious proposal...{***}
dlga_camp04jorge03b1:camp04jorge05|I am afraid I'll have to reject your gracious proposal. This conversation was every bit as exciting as triumphing over six adversaries together, but I have this nagging feeling that there is something weird and unnatural about you. I came to the New World looking for different sensations and different companions, sorry.{***}
dlga_start:camp05jorge00_|Senor, you seem pale. It appears you have missed a sword thrust or three, are you all right?{***}
dlga_camp05jorge00_:camp05jorge01|Just a flesh wound. What happened?{***}
dlga_camp05jorge01:camp04jorge00_|We are still in the prison, but I cleared the way. Your assistance wasn't exactly helpful, but you sure look cute with a blade.^^By the way, I have a business proposal for you. Would you mind joining a certain endeavor?{***}
dlga_start:camp09mac00_|Ye lovers of the picturesque, if ye wish to drown your grief,^Take my advice, and visit the ancient town of Crieff;{***}
dlga_start:camp10mac01|Good. Now, {mister/lady} {playername}, you'll have to lead this party to victory. I am too old and too frail to run around with a broadsword under musket fire. You need to deploy the soldiers first. Placing pikemen and swordsmen at the forefront and keeping the musketeers behind them is a most prudent idea.{***}
dlga_start:camp11mac00_|Nice battle, sir. Kinda reminds me of Robert the Bruce's battle against the English.^^(Jesus, mister McGonagall is going to read some of his poetry again...){***}
dlga_start:camp12mac00_|Wake up, my friend. We are prepared to disembark, but rest assured, it won't be an easy walk. The villains holed up inside an old fort, and they may possess a cannon. So, ashore you go!{***}
dlga_start:camp13mac00_|I watched you from the quarterdeck, my friend, and I swear you have fought like William Wallace at Falkirk! I doubt there is anything about the art of war that I could teach you further...{***}
dlga_start:camp15graaf00_|Too late, he's gone already. Let me explain how to put that newly acquired capital of yours to a good use, anyway. Uh, Zendar Van der Graaf, that's me.{***}
dlga_start:camp25jorge00_|Good day to you, senor {playername}. How do you do?{***}
dlga_start:cardplayer_begin_|{s2} {s1}{***}
dlga_start:cardplayer_begin_.1|Sod off, you cheating cad.{***}
dlga_start:close_window.1|{s2}{***}
dlga_oim_town_watch_dlg:close_window|Do not get underfoot!{***}
dlga_oim_town_watch_dlg:close_window.1|Hey, you! Wait here...{***}
dlga_ms_extra_officer_dialog_start:ms_extra_officer_element_list|Greetings, {s64}.{***}
dlga_ms_extra_officer_element_list:ms_manage_hire_troops_more|Tell me about your trade.{***}
dlga_ms_extra_officer_element_list:ms_manage_hire_troops|I would like to hire some soldiers.{***}
dlga_ms_manage_hire_troops:ms_manage_hire_troops_1|I can recruit some lads for you{reg10?. There {reg11?are {reg10} suitable bastards right here in this town:is but one suitable bastard in this town for now, sorry}:, but there are no would be volunteers in this town at the moment, sorry}.{***}
dlga_ms_manage_hire_troops_more:ms_extra_officer_element_list|I could recruit some troops for you, if you have enough money, of course. The soldiers are hired immediately, but the number of willing recruits is limited. Still, more volunteers arrive every week.{***}
dlga_ms_manage_hire_troops_1:ms_manage_hire_troops_all_colon|Which colonial troops I can recruit?{***}
dlga_ms_manage_hire_troops_all_colon:ms_manage_hire_troops_all_2|I can provide you with the following soldiers...{***}
dlga_ms_manage_hire_troops_all_2:ms_manage_hire_troops_all_3|{s2}.{***}
dlga_ms_manage_hire_troops_all_3:ms_manage_hire_troops_all_options|{s21}{***}
dlga_ms_manage_hire_troops_all_options:ms_manage_hire_troops_hire|Recruit me as many of them as possible.{***}
dlga_ms_manage_hire_troops_hire:ms_extra_officer_dialog_start|My apologies, but these soldiers require special conditions to be recruited.{***}
dlga_ms_manage_hire_troops_hire:ms_extra_officer_dialog_start.1|Sorry, but your party is full.{***}
dlga_ms_manage_hire_troops_hire:ms_extra_officer_dialog_start.2|There are no more volunteers available at the moment, apparently.{***}
dlga_ms_manage_hire_troops_hire:ms_extra_officer_dialog_start.3|Sorry, I can't recruit any of these soldiers.{***}
dlga_ms_manage_hire_troops_hire:ms_manage_hire_troops_hire_1|All right, I can recruit {reg4?all:only} {reg0} of these soldiers for you for {reg1} piastres. {reg2?In addition, it will cost you some continental supplies -- {reg2}, to be precise.:}{***}
dlga_ms_manage_hire_troops_hire_1:ms_extra_officer_dialog_start|Here is you money.{***}
dlga_ms_manage_hire_troops_hire_1:ms_extra_officer_dialog_start.1|Let's discuss something else...{***}
dlga_ms_manage_hire_troops_all_options:ms_manage_hire_troops_hire.1|I'd like to recruit ten of them.{***}
dlga_ms_manage_hire_troops_all_options:ms_manage_hire_troops_hire.2|Five of them sounds just about right.{***}
dlga_ms_manage_hire_troops_all_options:ms_manage_hire_troops_hire.3|Sign three of these up for me.{***}
dlga_ms_manage_hire_troops_all_options:ms_manage_hire_troops_hire.4|I only need one {s2}.{***}
dlga_ms_manage_hire_troops_all_options:ms_extra_officer_dialog_start|Nevermind.{***}
dlga_ms_manage_hire_troops_all_2:ms_manage_hire_troops|Let's discuss something else.{***}
dlga_ms_manage_hire_troops_all_colon:ms_manage_hire_troops|Unfortunately, there are no colonial soldiers available at the moment.{***}
dlga_ms_manage_hire_troops_1:ms_manage_hire_troops_all_cont|Do you have any continental troops around?{***}
dlga_ms_manage_hire_troops_all_cont:ms_manage_hire_troops_all_2|Yes, I could recruit some continental soldiers for you.{***}
dlga_ms_manage_hire_troops_all_cont:ms_manage_hire_troops|Unfortunately, there are no continental soldiers available at the moment.{***}
dlga_ms_manage_hire_troops_1:ms_manage_hire_troops_all|Just tell me about all the troops that serve your master.{***}
dlga_ms_manage_hire_troops_all:ms_manage_hire_troops_all_2|Well, we put all kinds of soldiers to use. Ask about whoever you like. Mind you, some of them might be unavailable for hire at the moment.{***}
dlga_ms_manage_hire_troops_1:ms_extra_officer_dialog_start|Nevermind.{***}
dlga_ms_extra_officer_element_list:ms_manage_mercs|I could use some help with bodyguards...{***}
dlga_ms_manage_mercs:ms_manage_mercs_option|And how may I help you?{***}
dlga_ms_manage_mercs_option:ms_manage_mercs_description|How can I procure some bodyguards?{***}
dlga_ms_manage_mercs_description:ms_manage_mercs|You can hire some mercenaries as your personal bodyguards. You may outfit them with the equipment of your choice, and we can even train them a little.{***}
dlga_ms_manage_mercs_option:ms_manage_mercs_hire_troop|I would like to convert some of my regular troops into mercenaries.{***}
dlga_ms_manage_mercs_hire_troop:ms_manage_mercs_hire_troop_select|Choose the type of troops to be retrained as mercenaries.{***}
dlga_ms_manage_mercs_hire_troop_select:ms_manage_mercs_hire_troop_select_price|{s2} ({reg0} soldiers.){***}
dlga_ms_manage_mercs_hire_troop_select_price:ms_manage_mercs_hire_troop_select_price_goon|We can retrain {s2} into {s3} mercenaries. Choose their branch of service:{***}
dlga_ms_manage_mercs_hire_troop_select_price_goon:ms_manage_mercs_hire_troop_select_price_goon_1|I'd like to train them as cavalry. ({reg10} piastres){***}
dlga_ms_manage_mercs_hire_troop_select_price_goon_1:ms_manage_mercs_hire_troop_select_price_goon_2|That will cost you {reg10} piastres.{***}
dlga_ms_manage_mercs_hire_troop_select_price_goon_2:ms_extra_officer_dialog_start|Here is your money.{***}
dlga_ms_manage_mercs_hire_troop_select_price_goon_2:ms_extra_officer_dialog_start.1|That's too expensive! Let's discuss something else...{***}
dlga_ms_manage_mercs_hire_troop_select_price_goon_2:ms_manage_mercs_hire_troop|Let's look for another option.{***}
dlga_ms_manage_mercs_hire_troop:ms_extra_officer_dialog_start|There is no one suitable to train.{***}
dlga_ms_manage_mercs_hire_troop_select_price_goon:ms_manage_mercs_hire_troop_select_price_goon_1.1|I'd like to train them as musketeers. ({reg10} piastres){***}
dlga_ms_manage_mercs_hire_troop_select_price_goon:ms_manage_mercs_hire_troop_select_price_goon_1.2|I'd like to train them as infantry. ({reg10} piastres){***}
dlga_ms_manage_mercs_hire_troop_select_price_goon:ms_extra_officer_dialog_start|Nevermind.{***}
dlga_ms_manage_mercs_hire_troop_select:ms_extra_officer_dialog_start|I've changed my mind.{***}
dlga_ms_manage_mercs_option:ms_manage_mercs_select_type_to_buy|I would like to hire mercenaries.{***}
dlga_ms_manage_mercs_select_type_to_buy:ms_manage_mercs_select_type_to_buy_1|We can offer cavalry, musketeers and infantry as mercenaries, who do you want to hire?{***}
dlga_ms_manage_mercs_select_type_to_buy_1:ms_manage_hire_troops_all_3|I would like to hire cavalry.{***}
dlga_ms_manage_mercs_select_type_to_buy_1:ms_manage_hire_troops_all_3.1|I would like to hire musketeers.{***}
dlga_ms_manage_mercs_select_type_to_buy_1:ms_manage_hire_troops_all_3.2|I would like to hire infantry.{***}
dlga_ms_manage_mercs_select_type_to_buy_1:ms_manage_mercs|Nevermind.{***}
dlga_ms_manage_mercs_option:ms_manage_mercs_select_squad|I would like to train my mercenaries.{***}
dlga_ms_manage_mercs_select_squad:ms_manage_mercs_select_squad_1|Which troops would you like to train?{***}
dlga_ms_manage_mercs_select_squad_1:ms_manage_mercs_select_squad_2|I want to train my {s2} troops.{***}
dlga_ms_manage_mercs_select_squad_2:ms_manage_mercs_select_squad_3|We can train your troops in swordsmanship and shooting -- and riding, if they can.{***}
dlga_ms_manage_mercs_select_squad_3:ms_manage_mercs_select_squad_details|What are their current abilities, though?{***}
dlga_ms_manage_mercs_select_squad_details:ms_manage_mercs_select_squad|As far as can I judge, your soldiers can use weapons up to tier {reg10}. Their skill in shooting muskets is {s2} and they are {s3} in fighting with melee weapons.{reg11? Moreover, they are {s4} in horseriding.:}{***}
dlga_ms_manage_mercs_select_squad:ms_manage_mercs|Sorry, you don't seem to have any mercenaries we could train.{***}
dlga_ms_manage_mercs_select_squad_3:ms_manage_mercs_select_squad_4|Teach them to use swords.{***}
dlga_ms_manage_mercs_select_squad_4:ms_manage_mercs_select_squad_5|All right, we can improve their skills. This will cost you {reg0} piastres.{***}
dlga_ms_manage_mercs_select_squad_5:ms_manage_mercs|Here are your {reg0} piastres.{***}
dlga_ms_manage_mercs_select_squad_5:ms_manage_mercs.1|That's too expensive for me...{***}
dlga_ms_manage_mercs_select_squad_4:ms_manage_mercs_select_squad_2|Sorry, I can't help you in this field anymore.{***}
dlga_ms_manage_mercs_select_squad_3:ms_manage_mercs_select_squad_4.1|Show them how to use muskets.{***}
dlga_ms_manage_mercs_select_squad_3:ms_manage_mercs_select_squad_4.2|Improve their riding skills.{***}
dlga_ms_manage_mercs_select_squad_3:ms_manage_mercs|Nevermind.{***}
dlga_ms_manage_mercs_select_squad_1:ms_manage_mercs|Nevermind.{***}
dlga_ms_manage_mercs_option:ms_extra_officer_dialog_stuff|I'd like to change their equipment.{***}
dlga_ms_extra_officer_dialog_stuff:ms_extra_officer_dialog_stuff_1|Which troops would you like to customize?{***}
dlga_ms_extra_officer_dialog_stuff_1:ms_extra_officer_dialog_stuff_2|I would like to customize my {s2} troops.{***}
dlga_ms_extra_officer_dialog_stuff_2:close_window|Fine, that's everything I can offer...{***}
dlga_ms_extra_officer_dialog_stuff_1:ms_manage_mercs|Nevermind.{***}
dlga_ms_extra_officer_dialog_stuff:ms_manage_mercs|You don't seem to have any mercenaries we could equip.{***}
dlga_ms_manage_mercs_option:ms_extra_officer_dialog_start|Nevermind.{***}
dlga_ms_extra_officer_element_list:ms_extra_officer_order_artillery|I want to purchase some cannons.{***}
dlga_ms_extra_officer_order_artillery:ms_extra_officer_order_confirm|Very well, my {lord/lady}. Casting one field cannon would cost you {reg0} piastres.{***}
dlga_ms_extra_officer_order_confirm:ms_extra_officer_order_confirm2|Good. I need one.{***}
dlga_ms_extra_officer_order_confirm2:ms_extra_officer_dialog_start|Done. My men will deliver your cannon immediately. Mind that you need to hire some trained gunners, unless you want to load and fire your cannons all by yourself.{***}
dlga_ms_extra_officer_order_confirm:ms_extra_officer_dialog_start|That's too much for me at the moment.{***}
dlga_ms_extra_officer_order_artillery:ms_extra_officer_dialog_start|It appears your knowledge of engineering and tactics aren't up to the task, sorry.{***}
dlga_ms_extra_officer_order_artillery:ms_extra_officer_dialog_start.1|You expect me to produce ordnance for foreigners? They'll hang me if I do.{***}
dlga_ms_extra_officer_order_artillery:ms_extra_officer_dialog_start.2|You don't seem to have enough inventory space.{***}
dlga_ms_extra_officer_element_list:ms_extra_officer_element_list_arena_training_q2|I want to inspect your daredevils.{***}
dlga_ms_extra_officer_element_list_arena_training_q2:ms_extra_officer_element_list_arena_training_q2|{My lord/My lady}, they would be honored to display their skills to you. How do you intend to test them?{***}
dlga_ms_extra_officer_element_list_arena_training_q2:ms_extra_officer_element_list_arena_training_q4|Make them stand in line. I'll fight them personally.{***}
dlga_ms_extra_officer_element_list_arena_training_q4:ms_extra_officer_element_list_arena_training_q4|How many men should I gather, {my lord/my lady}{***}
dlga_ms_extra_officer_element_list_arena_training_q4:ms_extra_officer_element_list_arena_training_q8|1{***}
dlga_ms_extra_officer_element_list_arena_training_q8:ms_extra_officer_element_list_arena_training_q8|Rookies or veterans?{***}
dlga_ms_extra_officer_element_list_arena_training_q8:ms_extra_officer_element_list_arena_training_q12|Rookies.{***}
dlga_ms_extra_officer_element_list_arena_training_q12:ms_extra_officer_element_list_arena_training_q12|Very well, {my lord/my lady}. The soldiers are ready.{***}
dlga_ms_extra_officer_element_list_arena_training_q12:close_window|Let's have some fun!{***}
dlga_ms_extra_officer_element_list_arena_training_q12:ms_extra_officer_dialog_start|Come to think of it, I changed my mind.{***}
dlga_ms_extra_officer_element_list_arena_training_q8:ms_extra_officer_element_list_arena_training_q12.1|Regular soldiers.{***}
dlga_ms_extra_officer_element_list_arena_training_q8:ms_extra_officer_element_list_arena_training_q12.2|Veterans.{***}
dlga_ms_extra_officer_element_list_arena_training_q8:ms_extra_officer_element_list_arena_training_q12.3|The best you can offer!{***}
dlga_ms_extra_officer_element_list_arena_training_q8:ms_extra_officer_dialog_start|Come to think of it, I changed my mind.{***}
dlga_ms_extra_officer_element_list_arena_training_q4:ms_extra_officer_element_list_arena_training_q8.1|2{***}
dlga_ms_extra_officer_element_list_arena_training_q4:ms_extra_officer_element_list_arena_training_q8.2|3{***}
