ip_ranks_info|01. Ranks and fame{***}
ip_cityassault_info_text|Assaulting a fortified town is no mean feat. You have to be renowned as a military leader of note in order to convince your soldiers to attempt such a task. And when your ambition is conquest rather than base plunder, you need even more recognition to be able to install a new government.^^When you choose to attack a city on land, your party spends several hours constructing siege ladders. Once the preparations are over, you are deployed a short distance from the fort. You can order your troops to attack, hold position or follow you around. Your objective is to reach the ladders, scale the fortifications and defeat the defenders, all while being bombarded from the walls. Alternately, if you own some artillery pieces, you can try bombarding the fort yourself and make some breaches to ease the assault.^^If you choose to attack a city from the sea instead, up to 3 larger warships in your fleet will join the offensive. You begin the battle aboard your flagship at the roadstead outside the firing range of cannons. Having selected one of your vessels, you can order it to advance and bombard the coastal fort, or fall back to the roadstead if it ends up damaged by return fire. While you are aboard, you can man one of the cannons to bombard the city. Once the fortifications are breached, you can order your soldiers to make a landing on boats on their own, or join them in the assault.{***}
ip_slavery_info|07. Slavery{***}
ip_slavery_info_text|When you lose a battle, enemies take you prisoner, rob you of all possessions, then sell you into slavery at a mine or plantation nearby. You can try escaping from your confinement alone, but a failure may cost you dearly, resulting in crippling injuries. Your best bet is to talk other prisoners into starting an uprising and breaking out together. If you succeed in overwhelming the guards, some of runaway slaves may choose to join your party.^^If you are leading your own faction, you might try to contact your supporters outside and request their help, but a botched attempt will lead to harsh consequences.{***}
ip_faction_info|08. Starting a faction{***}
ip_faction_info_text|When your rank is high enough yet you haven't joined any existing faction, you can conquer a city to rule on your own. Such impudence won't be approved by the colonial powers, of course. As self-proclaimed faction leader, you can appoint your hired captains as governors of newly conquered cities, and even convince the disgruntled pirate lords and nobles of colonial powers to switch sides and join your growing American kingdom. You can order your governors to attack enemy troops and cities by right-clicking on their icons and selecting a lord in the list. You can right-click on a city of your faction to grant it to one of your nobles to govern. Right-click on the lord himself to order him to follow you around.^^As a faction leader, you can hire several ministers to help you running your kingdom. The Treasurer will provide you with access to your financial statistics and will handle remote trading and convoy management, working as both the clerk and the banker who is always around. The Drillmaster will add cohesion to your ragtag army, allowing you to change all kinds of soldiers in your service to those specific to your faction. The Secretary will handle your diplomatic affairs. Finally, the Sutler can order food for your army, solving your supply problems regardless of where you are.{***}
ip_construction_info|09. Construction{***}
ip_construction_info_text|Having reached the business reputation of a Shopkeeper, you can begin constructing productive enterprises within towns after hiring a clerk to represent your local interests. At first you are limited to resource production facilities such as iron mines and tobacco plantations, but with further reputation advancement you can access manufactories producing finished goods, such as clothing and furniture. Raw resources are harvested from the countryside around the town, and each city only has access to a limited selection of resources. Manufactories on the other hand can be constructed anywhere, but they require a constant supply of specific resources to run, so it is prudent to build them where a resource in question is in abundance.^^When you gain governorship over a city, you can also construct municipal buildings to increase the town's prosperity, access advanced troops and so on.^^The buildings already constructed in town are displayed as a list of round icons at the top.{***}
ip_trading_info|10. Bulk trading{***}
ip_trading_info_text|The 'Bulk Trading' button allows you to puchase the goods produced locally, or sell the contents of your cargo hold, supply train or warehouse. Goods readily available in town tend to fetch a low price, while those in high demand sell at a premium. You can click on the 'Merchant' and 'Your fleet' tabs to switch either panel to display your supply train for heading inland, or your warehouse storing goods locally (the warehouse becomes available once you have hired a clerk). When you have a warehouse in town, the 'Warehouse' button is also displayed, providing you with quick access to move your goods between your fleet and the warehouse. If you don't have a warehouse in a city, ships moored at the dock can serve you as temporary storage space, but their cargo capacity is limited.^^Click and hold on the goods icons and drag the slider left or right with your mouse in order to move the goods between panels, then click on the 'Done' button to confirm transfer.{***}
ip_messageboard_info|11. Messageboard{***}
ip_messageboard_info_text|Messageboard stores a list of jobs offered by town and faction authorities. Their tasks may range from supplying specific goods a town is lacking to pillaging an enemy port. Town jobs are different in each town, while faction-wide jobs are offered in every town belonging to the faction.^^Bands of irregular and colonial soldiers in search of mercenary employment also post their notices on the messageboard.{***}
ip_shipyard_info|12. Shipyard{***}
ip_shipyard_info_text|The shipyard allows you to purchase, upgrade, repair and sell ships. You can switch between buying and selling ships using the 'Buy ships/Manage ships' button at the bottom of the screen. Select individual vessels to buy or sell by clicking the icon at the left, above the panel containing ship attributes.^^While in 'Manage ships' mode, you can replace your cannons by selecting a specific deck using cannon icons in the top right corner, then clicking on cannon icon on the rightside panel to bring up the list of possible replacements. Use the arrows next to this icon to change the amount of cannons if you wish to sell back some. The other two icons at the top right allow you to install ship upgrades and to manage your crew. When buying a new ship, do not forget to restock its ammunition reserves (bottom left) and recruit enough crewmen (bottom right, crew management mode).{***}
ip_dock_info|13. Dock{***}
ip_dock_info_text|You can leave some of your vessels moored at the dock, if you deem them unsuitable for your current objectives - it wouldn't be prudent, for instance, to carry along a couple of heavily damaged fluyts when you go pirate-hunting. If you are heading inland, your fleet will likewise stay moored at the dock, and you'll have to pick up the ships upon your return. Ships staying at a dock cost less upkeep than your active fleet.^^In order to move your ships between the dock and the active duty, click on their icons and drag them on the opposite panel.^^When you are leaving your ships in a cove, the interface is identical to the dock.{***}
ip_convoy_info|14. Convoys{***}
ip_convoy_info_text|When you want to open a business in town, the first thing in order is to hire a clerk to manage your local enterprise. You can order a clerk or your treasurer to send a convoy from any city where you have some ships moored at the dock to any other city, providing you have clerks hired at both. First, select the starting town from among cities with your ships docked inside. Then choose the destination town and drag the ships you want to assign to the convoy from left panel to the right. On next screen, add the goods you want to transfer either from the market or from your warehouse. Note that this transaction will be paid from your bank account, and you need sufficient funds in the bank to complete the order.{***}
ip_banking_info|15. Banking{***}
ip_banking_info_text|Another person of interest residing in the town hall is a banker. You can use his services to transfer money to your bank account, where your fortunes will be safe from any mishaps that might happen to you on the road. All business expenses are paid from your bank account rather than your cash reserves.^^Bankers can provide you with detailed information on your expenses, including upkeep paid for army, ships and businesses, along with the tax revenues from the cities you govern. You can switch between displaying total expenses and individual expenditure per town. If you have productive enterprises in one of these towns, you can use checkboxes to allow or forbid them to purchase resources on local market, or to sell their production there.{***}
ip_gambling_info|16. Gambling{***}
ip_gambling_info_text|The taverns in the Caribbean host many professional gamblers making their living by playing cards. They sport different levels of skill, and bet accordingly. Rich and famous players are unwilling to waste their time on newbies, so an aspiring newcomer to the gambling stage will have to make a name for himself playing lesser competitors until he gains better recognition.^^The game of choice in the Caribbean taverns is a Blackjack variant. Both players strive to reach a score closest to 21 points without going bust. An ace is worth 11 points and face cards are worth 10. Upon dealing your first two cards, you have an option to hit (take another card) or stand (keep your hand). Whoever ends up with more points without going over 21, wins the pot. In case of push (draw) both players keep their coins.^^While dealing, you can attempt to rig your hand and deal yourself better cards. Your ability to do so unnoticed depends on your Gambling skill. If your attempt at cheating is spotted, the entire tavern will rise against you in a huge brawl.{***}
ip_cove_info|17. Landing in a cove{***}
ip_cove_info_text|Sometimes you may want to make a landing outside nearby towns, which might be controlled by your enemies. The coves allow you to leave your fleet behind and head inland without having to deal with authorities. Upon landing, you can talk to your fleet's quartermaster to moor your vessels and to offload your goods to supply train.{***}
ip_smuggling_info|18. Smugglers{***}
ip_smuggling_info_text|When you land in a port owned by a colonial power with a hold full of goods, tax collectors descend on you like a flock of vultures. Sometimes, the only way to profit from a difficult journey is to offload your wares to smugglers operating in the waters around the town. Representatives of criminal world often found in taverns can spill the beans on where you might find these smugglers at any given moment. When you want to attempt contacting them, right-click on the town icon and choose the 'Look for smugglers' option. Take care, though, for the customs officials are always on the lookout for illicit trading, and their patrol might intercept you during your search. If this happens, you may try your luck outrunning them or hiding your goods in the hold, but if you fail, a battle is imminent.{***}
