qstr__plantation_horse_ba|养马场
qstr_militiaman_leg_4|militiaman leg 4{***}
qstr_pikeneer_attach_01|pikeneer attach 01{***}
qstr_pikeneer_attach_01_f|pikeneer attach 01 fem{***}
qstr_pikeneer_attach_02|pikeneer attach 02{***}
qstr_pikeneer_attach_02_f|pikeneer attach 02 fem{***}
qstr_pikeneer_attach_05|pikeneer attach 05{***}
qstr_pikeneer_attach_05_f|pikeneer attach 05 fem{***}
qstr_pirate_veteran_body_|pirate veteran body 01{***}
qstr_pirate_veteran_body_0|pirate veteran body 01 fem{***}
qstr_pirate_body|pirate body{***}
qstr_pirate_veteran_legs_|pirate veteran legs 04{***}
qstr_pirate_veteran_legs_0|pirate veteran legs 04 fem{***}
qstr_pirate_legs|pirate legs{***}
qstr_pirate_veteran_neck_|pirate veteran neck 02{***}
qstr_pirate_veteran_neck_0|pirate veteran neck 02 fem{***}
qstr_pirate_veteran_legs_05|pirate veteran legs 05{***}
qstr_pirate_veteran_legs_05_|pirate veteran legs 05 fem{***}
qstr_pirate_veteran_legs_06|pirate veteran legs 06{***}
qstr_pirate_veteran_legs_06_|pirate veteran legs 06 fem{***}
qstr_pirate_veteran_neck_01|pirate veteran neck 01{***}
qstr_pirate_veteran_neck_01_|pirate veteran neck 01 fem{***}
qstr_pirate_veteran_attach_05|pirate veteran attach 05{***}
qstr_pirate_veteran_attach_05_|pirate veteran attach 05 fem{***}
qstr_pirate_veteran_body_02|pirate veteran body 02{***}
qstr_female_pirate_shirt|female pirate shirt{***}
qstr_caribbean_female_04|caribbean female 04{***}
qstr_female_pirate_pants_|female pirate pants 01{***}
qstr_base_mesh_null|base mesh null{***}
qstr_female_pirate_vest|female pirate vest{***}
qstr_female_pirate_cut|female pirate cut{***}
qstr_caribbean_skin_body_|caribbean skin body female{***}
qstr_pirate_veteran_body_03|pirate veteran body 03{***}
qstr_pirate_veteran_body_03_|pirate veteran body 03 fem{***}
qstr_pirate_veteran_legs_03|pirate veteran legs 03{***}
qstr_pirate_veteran_legs_03_|pirate veteran legs 03 fem{***}
qstr_pirate_veteran_legs_01|pirate veteran legs 01{***}
qstr_pirate_veteran_legs_01_|pirate veteran legs 01 fem{***}
qstr_pirate_veteran_legs_02|pirate veteran legs 02{***}
qstr_pirate_veteran_legs_02_|pirate veteran legs 02 fem{***}
qstr_pirate_captain_body_|pirate captain body 01{***}
qstr_pirate_captain_body_0|pirate captain body 01 fem{***}
qstr_captain_bodies_1|captain bodies 1{***}
qstr_pirate_captain_legs_|pirate captain legs 01{***}
qstr_pirate_captain_legs_0|pirate captain legs 01 fem{***}
qstr_captain_legs_1_1|captain legs 1 1{***}
qstr_pirate_captain_neck_|pirate captain neck 02{***}
qstr_pirate_captain_neck_0|pirate captain neck 02 fem{***}
qstr_captain_attach|captain attach{***}
qstr_pirate_captain_attac|pirate captain attach 01{***}
qstr_pirate_captain_attach|pirate captain attach 01 fem{***}
qstr_captain_legs_1_2|captain legs 1 2{***}
qstr_pirate_captain_legs_02|pirate captain legs 02{***}
qstr_pirate_captain_legs_02_|pirate captain legs 02 fem{***}
qstr_captain_legs_2_1|captain legs 2 1{***}
qstr_captain_legs_2_2|captain legs 2 2{***}
qstr_captain_legs_2_3|captain legs 2 3{***}
qstr_captain_legs_2_4|captain legs 2 4{***}
qstr_pirate_captain_neck_01|pirate captain neck 01{***}
qstr_pirate_captain_neck_01_|pirate captain neck 01 fem{***}
qstr_captain_bodies_2|captain bodies 2{***}
qstr_pirate_captain_body_02|pirate captain body 02{***}
qstr_pirate_captain_body_02_|pirate captain body 02 fem{***}
qstr_pirate_captain_body_03|pirate captain body 03{***}
qstr_pirate_captain_body_03_|pirate captain body 03 fem{***}
qstr_militiaman_jacket_01|militiaman jacket 01{***}
qstr_militiaman_jacket_01_|militiaman jacket 01 fem{***}
qstr_militiaman_body|militiaman body{***}
qstr_militiaman_neck_01|militiaman neck 01{***}
qstr_militiaman_neck_01_f|militiaman neck 01 fem{***}
qstr_militiaman_attach_1|militiaman attach 1{***}
qstr_militiaman_legs_01|militiaman legs 01{***}
qstr_militiaman_legs_01_f|militiaman legs 01 fem{***}
qstr_militiaman_attach_1_|militiaman attach 1 fem{***}
qstr_militiaman_attach_2|militiaman attach 2{***}
qstr_militiaman_attach_2_|militiaman attach 2 fem{***}
qstr_musketeer_body_01|musketeer body 01{***}
qstr_musketeer_body_01_fe|musketeer body 01 fem{***}
qstr_musketeer_body_01_01|musketeer body 01 01{***}
qstr_musketeer_neck_01|musketeer neck 01{***}
qstr_musketeer_neck_01_fe|musketeer neck 01 fem{***}
qstr_musketeer_body_02|musketeer body 02{***}
qstr_musketeer_body_02_fe|musketeer body 02 fem{***}
qstr_musketeer_attach_03|musketeer attach 03{***}
qstr_musketeer_attach_03_|musketeer attach 03 fem{***}
qstr_musketeer_attach_06|musketeer attach 06{***}
qstr_musketeer_attach_06_|musketeer attach 06 fem{***}
qstr_musketeer_attach_01|musketeer attach 01{***}
qstr_musketeer_attach_01_|musketeer attach 01 fem{***}
qstr_musketeer_attach_02|musketeer attach 02{***}
qstr_musketeer_attach_02_|musketeer attach 02 fem{***}
qstr_musketeer_attach_04|musketeer attach 04{***}
qstr_musketeer_attach_04_|musketeer attach 04 fem{***}
qstr_musketeer_attach_05|musketeer attach 05{***}
qstr_musketeer_attach_05_|musketeer attach 05 fem{***}
qstr_musketeer_body_01_02|musketeer body 01 02{***}
qstr_musketeer_body_02_02|musketeer body 02 02{***}
qstr_musketeer_body_01_03|musketeer body 01 03{***}
qstr_musketeer_body_01_04|musketeer body 01 04{***}
qstr_musketeer_body_02_04|musketeer body 02 04{***}
qstr_musketeer_body_01_05|musketeer body 01 05{***}
qstr_musketeer_body_02_05|musketeer body 02 05{***}
qstr_pikeneer_a_03|pikeneer a 03{***}
qstr_pikeneer_a_03_fem|pikeneer a 03 fem{***}
qstr_pikeneer_a_01|pikeneer a 01{***}
qstr_pikeneer_a_01_fem|pikeneer a 01 fem{***}
qstr_pikeneer_a_02|pikeneer a 02{***}
qstr_pikeneer_a_02_fem|pikeneer a 02 fem{***}
qstr_pikeneer_b_01|pikeneer b 01{***}
qstr_pikeneer_b_01_fem|pikeneer b 01 fem{***}
qstr_pikeneer_b_02|pikeneer b 02{***}
qstr_pikeneer_b_02_fem|pikeneer b 02 fem{***}
qstr_cavalry_body_01_05|cavalry body 01 05{***}
qstr_dragoon_jacket_01a|dragoon jacket 01a{***}
qstr_dragoon_jacket_01a_f|dragoon jacket 01a fem{***}
qstr_dragoon_body_01_01|dragoon body 01 01{***}
qstr_dragoon_jacket_02a|dragoon jacket 02a{***}
qstr_dragoon_jacket_02a_f|dragoon jacket 02a fem{***}
qstr_dragoon_body_02_01|dragoon body 02 01{***}
qstr_dragoon_body_01_02|dragoon body 01 02{***}
qstr_dragoon_body_01_04|dragoon body 01 04{***}
qstr_dragoon_body_01_05|dragoon body 01 05{***}
qstr_dragoon_body_01_03|dragoon body 01 03{***}
qstr_officer_jacket_03|officer jacket 03{***}
qstr_officer_jacket_03_fe|officer jacket 03 fem{***}
qstr_officer_body_05|officer body 05{***}
qstr_officer_body_03|officer body 03{***}
qstr_officer_body_01|officer body 01{***}
qstr_officer_body_06|officer body 06{***}
qstr_officer_body_04|officer body 04{***}
qstr_officer_body_02|officer body 02{***}
qstr_officer_body_07|officer body 07{***}
qstr_officer_body_08|officer body 08{***}
qstr_officer_jacket_02|officer jacket 02{***}
qstr_officer_jacket_02_fe|officer jacket 02 fem{***}
qstr_officer_jacket_01|officer jacket 01{***}
qstr_officer_jacket_01_fe|officer jacket 01 fem{***}
qstr_pirate_boots_a|pirate boots a{***}
qstr_pirate_boots_a_fem|pirate boots a fem{***}
qstr_pirate_boots|pirate boots{***}
qstr_caribbean_female_boo|caribbean female boots{***}
qstr_pirate_boots_b|pirate boots b{***}
qstr_pirate_boots_b_fem|pirate boots b fem{***}
qstr_pirate_boots_c|pirate boots c{***}
qstr_pirate_boots_c_fem|pirate boots c fem{***}
qstr_pirate_boots_d|pirate boots d{***}
qstr_pirate_boots_d_fem|pirate boots d fem{***}
qstr_newbie_boots_01|newbie boots 01{***}
qstr_pirate_boots_e|pirate boots e{***}
qstr_pirate_boots_e_fem|pirate boots e fem{***}
qstr_captain_boots_1|captain boots 1{***}
qstr_pirate_boots_f|pirate boots f{***}
qstr_pirate_boots_f_fem|pirate boots f fem{***}
qstr_pirate_boots_g|pirate boots g{***}
qstr_pirate_boots_g_fem|pirate boots g fem{***}
qstr_captain_boots_2|captain boots 2{***}
qstr_pirate_boots_h|pirate boots h{***}
qstr_pirate_boots_h_fem|pirate boots h fem{***}
qstr_militiaman_boots_01|militiaman boots 01{***}
qstr_militiaman_boots_01_|militiaman boots 01 fem{***}
qstr_militiaman_boots_1|militiaman boots 1{***}
qstr_militiaman_boots_2|militiaman boots 2{***}
qstr_militiaman_boots_3|militiaman boots 3{***}
qstr_militiaman_boots_4|militiaman boots 4{***}
qstr_cavalry_boot_01|cavalry boot 01{***}
qstr_cavalry_boot_01_fem|cavalry boot 01 fem{***}
qstr_cavalry_boots_01|cavalry boots 01{***}
qstr_cavalry_boot_02|cavalry boot 02{***}
qstr_cavalry_boot_02_fem|cavalry boot 02 fem{***}
qstr_common_attach_patch_|common attach patch L{***}
qstr_common_attach_patch_R|common attach patch R{***}
qstr_common_attach_pipe|common attach pipe{***}
qstr_musketeer_neck_02|musketeer neck 02{***}
qstr_musketeer_neck_02_fe|musketeer neck 02 fem{***}
qstr_musketeer_legs_fem_0|musketeer legs fem 01{***}
qstr_jaguar_body|jaguar body{***}
qstr_jaguar_body_fem|jaguar body fem{***}
qstr_jaguar_knees|jaguar knees{***}
qstr_jaguar_knees_fem|jaguar knees fem{***}
qstr_jaguar_calves|jaguar calves{***}
qstr_jaguar_hips|jaguar hips{***}
qstr_jaguar_hips_fem|jaguar hips fem{***}
qstr_jaguar_helmet|jaguar helmet{***}
qstr_jaguar_helmet_fem|jaguar helmet fem{***}
qstr_tribal_helmet_01|tribal helmet 01{***}
qstr_tribal_helmet_01_fem|tribal helmet 01 fem{***}
qstr_caribbean_tribes_hel|caribbean tribes helmets{***}
qstr_tribal_hair_01|tribal hair 01{***}
qstr_caribbean_tribes_hai|caribbean tribes hair{***}
qstr_tribal_hair_03|tribal hair 03{***}
qstr_tribal_jewellery_ear|tribal jewellery earing 01{***}
qstr_tribal_jewellery_eari|tribal jewellery earing 01 fem{***}
qstr_tribal_jewellery_earin|tribal jewellery earing 02{***}
qstr_tribal_jewellery_earing|tribal jewellery earing 02 fem{***}
qstr_tribal_jewellery_nos|tribal jewellery nose 02{***}
qstr_tribal_jewellery_nose|tribal jewellery nose 02 fem{***}
qstr_tribal_jewellery_nose_|tribal jewellery nose 01{***}
qstr_tribal_jewellery_nose_0|tribal jewellery nose 01 fem{***}
qstr_tribal_helmet_02|tribal helmet 02{***}
qstr_tribal_helmet_02_fem|tribal helmet 02 fem{***}
qstr_tribal_helmet_03|tribal helmet 03{***}
qstr_tribal_helmet_03_fem|tribal helmet 03 fem{***}
qstr_tribal_armor_01|tribal armor 01{***}
qstr_tribal_armor_01_fem|tribal armor 01 fem{***}
qstr_tribal_armor_02|tribal armor 02{***}
qstr_tribal_armor_02_fem|tribal armor 02 fem{***}
qstr_tribal_armor_03|tribal armor 03{***}
qstr_tribal_armor_03_fem|tribal armor 03 fem{***}
qstr_tribal_shield_attach|tribal shield attach b{***}
qstr_caribbean_tribes_wea|caribbean tribes weapon 02{***}
qstr_tribal_hair_05|tribal hair 05{***}
qstr_tribal_helmet_04|tribal helmet 04{***}
qstr_tribal_helmet_04_fem|tribal helmet 04 fem{***}
qstr_tribal_helmet_04_fea|tribal helmet 04 feathers{***}
qstr_tribal_helmet_04_feat|tribal helmet 04 feathers fem{***}
qstr_tribal_shield_attach_|tribal shield attach c{***}
qstr_tribal_shield_attach_a|tribal shield attach a{***}
qstr_militiaman_attach_01|militiaman attach 01{***}
qstr_militiaman_attach_01_|militiaman attach 01 fem{***}
qstr_prisoner_neck_01|prisoner neck 01{***}
qstr_prisoner_neck_01_fem|prisoner neck 01 fem{***}
qstr_prisoner_leg_01|prisoner leg 01{***}
qstr_prisoner_leg_01_fem|prisoner leg 01 fem{***}
qstr_skin_body|skin body{***}
qstr_militiaman_attach_02|militiaman attach 02{***}
qstr_militiaman_attach_02_|militiaman attach 02 fem{***}
qstr_prisoner_neck_02|prisoner neck 02{***}
qstr_prisoner_neck_02_fem|prisoner neck 02 fem{***}
qstr_prisoner_body_02_fem|prisoner body 02 fem{***}
qstr_prisoner_body_01|prisoner body 01{***}
qstr_prisoner_body_01_cut|prisoner body 01 cut a fem{***}
qstr_prisoner_body_02|prisoner body 02{***}
qstr_prisoner_body_01_cut_|prisoner body 01 cut a{***}
qstr_prisoner_boots_01|prisoner boots 01{***}
qstr_prisoner_boots_01_fe|prisoner boots 01 fem{***}
qstr_body_calves_cut_a|body calves cut a{***}
qstr_body_calves_cut_a_fe|body calves cut a fem{***}
qstr_jaguar_sandals|jaguar sandals{***}
qstr_jaguar_sandals_fem|jaguar sandals fem{***}
qstr_body_calves|body calves{***}
qstr_body_calves_fem|body calves fem{***}
qstr_caribbean_drum|caribbean drum{***}
qstr_caribbean_drum_stick|caribbean drum stick L{***}
qstr_caribbean_drum_stick_|caribbean drum stick R{***}
qstr_caribbean_standart_s|caribbean standart staff{***}
qstr_caribbean_standart_f|caribbean standart flag{***}
qstr_englandflags1|englandflags1{***}
qstr_englandflags2|englandflags2{***}
qstr_englandflags3|englandflags3{***}
qstr_englandflags4|englandflags4{***}
qstr_englandflags5|englandflags5{***}
qstr_englandflags6|englandflags6{***}
qstr_spanishfirst|spanishfirst{***}
qstr_spanishmain|spanishmain{***}
qstr_spanishthird|spanishthird{***}
qstr_frenchfirst|frenchfirst{***}
qstr_frenchmain|frenchmain{***}
qstr_frenchthird|frenchthird{***}
qstr_hollandfirst|hollandfirst{***}
qstr_hollandmain|hollandmain{***}
qstr_hollandthird|hollandthird{***}
qstr_caribbean_female_nun|caribbean female nun white{***}
qstr_common_attach_scarf|common attach scarf{***}
qstr_female_pirate_boots_|female pirate boots 05{***}
qstr_female_civ_euro_cors|female civ euro corsage 01{***}
qstr_caribbean_female_05|caribbean female 05{***}
qstr_female_civ_euro_cut|female civ euro cut{***}
qstr_female_civ_euro_skir|female civ euro skirtapron{***}
qstr_female_civ_euro_apro|female civ euro apron{***}
qstr_female_civ_euro_skirt|female civ euro skirt{***}
qstr_caribbean_female_06|caribbean female 06{***}
qstr_caribbean_female_07|caribbean female 07{***}
qstr_female_civ_euro_corsa|female civ euro corsage 02{***}
qstr_00000000000000000000|0000000000000000000000000000000000000000000000000000000000000000{***}
qstr_female_civ_native_bl|female civ native blouse{***}
qstr_caribbean_female_01|caribbean female 01{***}
qstr_female_civ_native_cu|female civ native cut{***}
qstr_female_civ_native_sk|female civ native skirt{***}
qstr_caribbean_female_03|caribbean female 03{***}
qstr_female_civ_native_ap|female civ native apron{***}
qstr_female_civ_native_ne|female civ native necklace{***}
qstr_female_civ_native_br|female civ native bracelets{***}
qstr_caribbean_female_02|caribbean female 02{***}
qstr_female_civ_native_ea|female civ native earrings{***}
qstr_cut_woman_body_legs|cut woman body legs{***}
qstr_female_underwear_cor|female underwear corsetry{***}
qstr_female_underwear_bod|female underwear body{***}
qstr_female_underwear_pan|female underwear pantalette{***}
qstr_female_underwear_cors|female underwear corsetry sleeves{***}
qstr_female_jewelry_neckl|female jewelry necklace{***}
qstr_female_underwear_ski|female underwear skirt long 01{***}
qstr_female_underwear_body|female underwear body legs{***}
qstr_female_underwear_skir|female underwear skirt short 01{***}
qstr_female_underwear_skirt|female underwear skirt short 02{***}
qstr_female_underwear_skirt_|female underwear skirt long 02{***}
qstr_1_added_particle_fir|1-added particle fire||2-added particle smoke||3-added particle sparks||4-psys wedding rose{***}
qstr_set_particle_to_oper|set particle to operand 1 and set height to operant 2.Set 120 to operand to show list{***}
qstr_caribbean_city_garri|caribbean city garrison{***}
qstr_caribbean_city_garris|caribbean city garrison a{***}
qstr_caribbean_city_garriso|caribbean city garrison b{***}
qstr_caribbean_city_marke|caribbean city market{***}
qstr_caribbean_city_market|caribbean city market a{***}
qstr_caribbean_city_market_|caribbean city market b{***}
qstr_caribbean_city_market_c|caribbean city market c{***}
qstr_caribbean_city_taver|caribbean city tavern{***}
qstr_caribbean_city_tavern|caribbean city tavern a{***}
qstr_caribbean_city_tavern_|caribbean city tavern b{***}
qstr_caribbean_city_tavern_c|caribbean city tavern c{***}
qstr_Not_enough_skills_to|没有足够的技能来使用这个！
qstr__extra_light:_{reg0}|特效光影: {reg0}
qstr_You_rapidly_stuff_th|你迅速将货物塞进你的行李，并清空箱子。
qstr_This_chest_is_empty.|箱子是空的。
qstr_caribbean_mine_ore|caribbean mine ore{***}
qstr_Ok|好的
qstr_Cancel|取消
qstr_Supply_train|Supply train{***}
qstr_Cargo_hold|Cargo hold{***}
qstr_Apply|Apply{***}
qstr_Ship:|船:
qstr_Rename|重命名
qstr_Type:_{s2}|船型: {s2}
qstr_Hull:_{reg11}/{reg10|船体: {reg11}/{reg10}
qstr_Sails:_{reg11}/{reg1|船帆: {reg11}/{reg10}
qstr_Crew:_{reg11}/{reg10|船员: {reg11}/{reg10}
qstr_Cargo_hold:_{reg10}|货舱: {reg10}
qstr_Top_speed:_{reg10}|最高航速: {reg10}
qstr_Maneuvering:_{reg10}|机动: {reg10}
qstr_Deck_1:_{s2}__{reg11|甲板1: {s2} ({reg11}/{reg12} out of {reg10})
qstr_Click_for_details|点击查看详情
qstr_Deck_2:_{s2}__{reg11|甲板2: {s2} ({reg11}/{reg12} out of {reg10})
qstr_Deck_3:_{s2}__{reg11|甲板3: {s2} ({reg11}/{reg12} out of {reg10})
qstr_Deck_4:_{s2}__{reg11|甲板4: {s2} ({reg11}/{reg12} out of {reg10})
qstr_Bow:_{s2}__{reg11}_o|船头: {s2} ({reg11} out of {reg10})
qstr_Stern:_{s2}__{reg11}|船尾: {s2} ({reg11} out of {reg10})
qstr_Crew_XP:_{reg10}_{re|船员经验: {reg10} {reg11?({reg11}):}
qstr_Crew_experience:_{re|船员经验: {reg10} ^{reg11?下一级{reg11}:船员的最高技术水平}
qstr_Boarding_crew:_{reg1|登船人员: {reg10}
qstr_The_number_of_sailor|准备好参加接舷战的水手数量
qstr_Current_ammo:_{reg11|目前弹药: {reg11}/{reg10}
qstr_Make_flagship|更换旗舰
qstr_Add_sailors|增加水手
qstr_Transfer_{reg1}_{reg|从其他船调来{reg1} {reg2? 水手: 水手} 名水手
qstr_Repair|修理
qstr_Repairs_will_consume|修理将消耗{reg3} 亚麻和{reg2} 木材^ {reg0} 船体和{reg1} 船帆将被修复
qstr_Cargo_hold|货舱
qstr_Ship_upgrades:|船只升级:
qstr_List_of_installed_sh|船只已安装升级列表
qstr_Ship_s_captain:|船长:
qstr_{playername}|{playername}
qstr_Captain_s_skills:|船长技能:
qstr_{s2}:_{reg1}__{reg2}|{s2}: {reg1} ({reg2}%)
qstr_The_captain_s_skill_|船长的技能^能够有效地^操控船只
qstr_The_captain_s_skill_i|船长的技能^无法有效地^操控船只
qstr_{s2}:_{reg1}|{s2}: {reg1}
qstr_Captain_s_traits:|船长的特别技能:
qstr_Party:_{reg1}/{reg2}|团队: {reg1}/{reg2}
qstr_{s2}__{reg1}%{reg2?_|{s2} ({reg1}%{reg2? - wounded: })
qstr_{s2}__{reg4?{reg2}/{|{s2} ({reg4?{reg2}/{reg1}:{reg1}}){reg3?+: }
qstr_Prisoners:_{reg2}/{r|囚犯: {reg2}/{reg1}
qstr_{s2}{reg1?_{reg2}_:}|{s2}{reg1?({reg2}):}
qstr_Move_up|上移
qstr_Units_on_the_top_joi|排在顶部的单位首先加入战斗
qstr_Move_down|下移
qstr_Units_at_the_bottom_|排在底部的单位最后加入战斗
qstr_Unit_morale:_{s2}^We|部队的士气: {s2}^队伍每周的工资: {reg2} 皮阿斯特
qstr_Troop_class:|部队类型:
qstr_Talk|谈话
qstr_Disband|解散
qstr_Execute|执行
qstr_Skills|技能
qstr_Reade_to_upgrade:_{r|可以升级: {reg0}
qstr_Upgrade_to_{s2}|升级到{s2}
qstr_Upgrade_to_{s2}_^Thi|升级到{s2} ^每个士兵将花费{reg0} 皮阿斯特
qstr_Upgrade_to_{s2}_^This|升级到{s2} ^将花费{reg0} 皮阿斯特
qstr_Party_skills:|Party skills:{***}
