menu_start_game_0|Select your gender:{***}
mno_test_scene_enter6|Enter 7.{***}
mno_test_scene_enter7|Enter 8.{***}
mno_test_scene_enter8|Enter 9.{***}
menu_dhorak_keep|You enter the Dhorak Keep{***}
menu_join_siege_outside|{s1} is being besieged by {s2}.{***}
mno_approach_besiegers|Approach the siege camp.{***}
mno_pass_through_siege|Pass through the siege lines and enter {s1}.{***}
menu_cut_siege_without_fight|The besiegers permit you to approach the gates.{***}
menu_besiegers_camp_with_allies|{s1} remains under siege. The banners of {s2} fly above the camp of the besiegers,where you and your men are welcomed. {s4}{***}
mno_talk_to_siege_commander|Request a meeting with the commander.{***}
mno_join_siege_with_allies|Join the next assault.{***}
mno_join_siege_stay_back|Order your soldiers to join the next assault while you stay behind.{***}
menu_castle_outside|You are outside {s2}. {s20}{s11} {s3} {s4}.{***}
mno_approach_gates|Approach the gates and hail the guard.{***}
mno_town_sneak|Disguise yourself and try to sneak into the {s7}.{***}
mno_dplmc_riot_start_siege|Besiege the {reg6?town:town} to crush the rebellion.{***}
mno_dplmc_riot_negotiate|Begin negotiations.{***}
mno_castle_start_siege|Besiege the {reg6?town:town}.{***}
mno_castle_leave|Leave.{***}
menu_castle_guard|You approach the gate. The men on the walls watch you closely.{***}
mno_request_shelter|Request entry to the fortress.{***}
mno_request_meeting_commander|Request a meeting with someone.{***}
mno_guard_leave|Leave.{***}
menu_castle_entry_granted|After a brief wait, the guards open the gates for you and allow your company inside.{***}
menu_castle_entry_denied|The governor of this town has forbidden you shelter inside these walls,and the guard sergeant informs you that his men will fire if you attempt to come any closer.{***}
menu_castle_meeting|Who do you want to meet with?{***}
mno_guard_meet_s5|{s5}.{***}
mno_forget_it|Forget it.{***}
menu_castle_meeting_selected|Your request for a meeting is relayed inside. After a while, {s6} comes out to speak with you.{***}
menu_castle_besiege|You are laying siege to {s1}. {s2} {s3} {s4}{***}
mno_build_ladders|Assault the walls with ladders.{***}
mno_castle_lead_attack|Lead your soldiers in an assault.{***}
mno_sa_lead_attack|Assault city from the sea.{***}
mno_attack_stay_back|Order your soldiers to attack while you stay back...{***}
mno_lift_siege|Abandon the siege.{***}
menu_siege_attack_meets_sally|The defenders sally out to meet your assault.{***}
menu_castle_besiege_inner_battle|{s1}{***}
menu_construct_ladders|Judging by your skills, you will need {reg4} hours to prepare for an assault. Setting up the ladders may cost your army {s3} losses.{***}
mno_build_ladders_cont|Construct the ladders.{***}
menu_construct_siege_tower|As the officer with the highest Engineer skill ({reg2}), {reg3?you estimate:{s3} estimates} that building a siege tower will take{reg4} hours.{***}
mno_build_siege_tower_cont|Start building.{***}
menu_castle_attack_walls_simulate|{s4}^^Your casualties:{s8}^^Enemy casualties were: {s9}{***}
menu_castle_attack_walls_with_allies_simulate|{s4}^^Your casualties: {s8}^^Allied casualties: {s9}^^Enemy casualties: {s10}{***}
menu_castle_taken_by_friends|Nothing to see here.{***}
menu_castle_taken|As the last defenders of {s3} fall dead or scatter to the four winds, uneasy silence descends on the streets. Shortly after, a somber procession carrying the white flag approaches your headquarters, headed by the town's guildmaster. On behalf of {s3}, he begs you to leave the town alone, promising to pay a tribute worth {reg3} piastres. You can accept this offering, or capture the town instead.{***}
mno_dplmc_spoils_yourself|Take the tribute and vacate the town.{***}
mno_castle_taken_continue|Annex the town.{***}
menu_castle_taken_2|Your soldiers disperse the delegation and quickly secure control over the town. Soon, a new banner is raised over the ramparts of {s3}. {s10}{***}
mno_castle_taken_claim|Request to govern {s3} from now on.{***}
mno_castle_taken_no_claim|Continue...{***}
menu_requested_castle_granted_to_player|You receive a message from {s3}.^^{reg4?She:He} has decided to appoint you a governor of {s2}{reg3? and the nearby village of {s4}:} in {reg4?her:his} name for as long as you remain {reg4?her:his} loyal officer.{***}
menu_requested_castle_granted_to_player_husband|You receive a message from {s3}.^^{reg4?She:He} has decided to assign {s2}{reg3? and the nearby village of {s4}:} to your husband, {s7}, to govern.{***}
menu_requested_castle_granted_to_another|You receive a message from {s3}.^^'My congratulations on your most recent victory at {s2}. The capture of this key port is vital to our campaign. As to your request to govern {s2} in my name from now on, I am afraid this cannot happen, for I believe {s5} is a more suitable candidate. To cover your military expenses and reward your effort, though, I am sending you {reg6} piastres as a token of my gratitude.'{***}
mno_accept_decision|Accept the decision.{***}
mno_leave_faction|This shall not stand!{***}
menu_requested_castle_granted_to_another_female|You receive a message from {s3}.^^'My congratulations on your most recent victory at {s2}. The capture of this key port is vital to our campaign. As to your request to grant {s2} to your {wife/husband}, I am afraid this cannot happen, for I believe {s5} is a more suitable candidate. To cover your military expenses and reward your effort, though, I am sending you {reg6} piastres as a token of my gratitude.'{***}
menu_leave_faction|Abandoning your service is not a slight that would go unpunished. Your ruler may condemn you and confiscate your offices and properties. However, if you return them willingly, he may let the betrayal go without a fight.{***}
mno_leave_faction_give_back|Abandon service and give up your holdings.{***}
mno_leave_faction_hold|Abandon service and keep your lands, including {s2}, to yourself.{***}
mno_leave_faction_cancel|Remain loyal and accept the decision.{***}
menu_give_center_to_player|Your lord offers to extend your duties!{s1} sends word that he is willing to assign {s2} to you to manage in payment for your loyal service,adding it to your holdings. What is your answer?{***}
mno_give_center_to_player_accept|Accept the offer.{***}
mno_give_center_to_player_reject|Reject. You have no interest in governing {s2}.{***}
menu_give_center_to_player_2|With a brief ceremony, you are officially confirmed as the new governor of {s2}{reg3? and its bound village {s4}:}.You can now claim the rents and revenues from your personal estates there, draft soldiers from the populace,and manage the lands as you see fit.However, you are also expected to defend your settlement and your people from harm,as well as maintaining the rule of law and order.{***}
menu_oath_fulfilled|You had a contract with {s1} to serve him for a certain duration.Your contract has now expired. What will you do?{***}
mno_renew_oath|Renew your contract with {s1} for another month.{***}
mno_dont_renew_oath|Become free of your bond.{***}
menu_siege_started_defender|{s1} is about to assault the walls of {s2}. You have {reg10} troops ready for battle against the enemy's {reg11}. You decide to...{***}
mno_dplmc_negotiate_with_besieger|Negotiate with the besieger.{***}
mno_siege_defender_join_battle|Join the assault.{***}
mno_siege_defender_troops_join_battle|Order your men to join the assault while you stay back.{***}
menu_siege_join_defense|{s4}^^Your casualties: {s8}^^Allied casualties: {s9}^^Enemy casualties: {s10}{***}
menu_enter_your_own_castle|{s10}{***}
menu_village|{s11}^{s6}{***}
mno_village_center|Enter the facility.{***}
mno_village_buy_food|Ask to buy goods.{***}
mno_village_hostile_action|Take a hostile action.{***}
mno_village_leave|Leave...{***}
menu_village_hostile_action|What do you intend to do?{***}
mno_village_take_food|Demand the goods.{***}
mno_village_loot|Put the facility to torch.{***}
menu_recruit_volunteers|{s18}{***}
mno_continue_not_enough_gold|I don't have enough money...{***}
mno_recruit_them|Recruit them ({reg6} piastres).{***}
menu_village_hunt_down_fugitive_defeated|The last thing you remember is excruciating pain in your head, then everything goes dark.Time passes. When you open your eyes again you find yourself battered and bloody,but none of the wounds appear to be lethal.{***}
menu_village_infest_bandits_result|{s9}{***}
menu_village_infestation_removed|After an epic confrontation, the villagers under your command drive the surviving outlaws out of the village.The villagers have little left in the way of wealth after their ordeal,but they offer you all they can find.{***}
mno_village_bandits_defeated_accept|Take it as your just reward.{***}
mno_village_bandits_defeated_cont|Refuse, for they need these items more than you do.{***}
menu_center_manage|{s19}^{reg6?^^You arecurrently building {s7}. The building will be completed after {reg8} day{reg9?s:}.:}{***}
mno_center_build_manor|Build a manor.{***}
mno_center_build_fish_pond|Build a mill.{***}
mno_center_build_watch_tower|Build a watch tower.{***}
mno_center_build_school|Build a school.{***}
mno_center_build_messenger_post|Build a messenger post.{***}
mno_center_build_prisoner_tower|Build a prison.{***}
menu_center_improve|{s19} As the officer with the highest engineer skill ({reg2}), {reg3?you reckon:{s3} reckons} that constructing the {s4} will cost you{reg5} piastres and will take {reg6} days.{***}
mno_dplmc_improve_cont|Go on. (Pay from treasury){***}
mno_improve_cont|Go on.{***}
mno_improve_not_enough_gold|I don't have enough money for that.{***}
menu_town_bandits_failed|{s4} {s5}{***}
menu_town_bandits_succeeded|The bandits fall before you as wheat to a scythe! Soon you stand alone in the streetswhile most of your attackers lie unconscious, dead or dying.Searching the bodies, you find a purse which must have belonged to a previous victim of these brutes.Or perhaps, it was given to them by someone who wanted to arrange a suitable ending to your life.{***}
menu_village_steal_cattle_confirm|As the officer with the highest looting skill ({reg2}), {reg3?you reckon:{s1} reckons} that you can steal as many as {reg4} heads of village's cattle.{***}
mno_village_steal_cattle_confirm|Go on.{***}
menu_village_steal_cattle|{s1}{***}
menu_village_take_food_confirm|It will take some time to disarm the guards and coerce the manager to hand you the goods. You think you will need at least one hour.{***}
mno_village_take_food_confirm|Go ahead.{***}
menu_village_take_food|Eventually the grumbling guards and workers unload the goods for you to take.{***}
mno_take_supplies|Take the goods.{***}
mno_let_them_keep_it|Let them keep it.{***}
menu_village_start_attack|The guards fully intend to protect the facility from plunder and its workforce from being freed.This is going to end up in blood.{***}
mno_village_raid_attack|Kill them all.{***}
mno_village_raid_leave|Leave the facility alone.{***}
menu_village_loot_no_resist|The guards opt not to put up any resistance and quickly scatter to the winds. The facility is yours to pillage.{***}
menu_village_loot_complete|Your soldiers plunder the warehouses, free the surviving slaves and set fire to buildings. Your share of loot is estimated to be {reg1} piastres.{***}
menu_village_loot_defeat|The guards displayed uncharacteristic determination, eventually driving your troops away.{***}
menu_village_loot_continue|Do you wish to continue pillaging this facility?{***}
mno_disembark_yes|Yes.{***}
mno_disembark_no|No.{***}
menu_close|Nothing.{***}
menu_town|{s10} {s14}^{s11}{s12}{s13} {s20} {s21}{***}
mno_visit_main_square|Visit the main square.{***}
mno_town_shipyard|Go to the harbor.{***}
mno_trade_with_merchants|Visit the market square.{***}
mno_additional_menu_town_ms|Visit the craftsmen district.{***}
mno_castle_wait|Stay in the tavern{s1}.{***}
mno_town_dungeon|Never: Enter the prison.{***}
mno_collect_taxes_qst|{reg5?Continue collecting taxes:Collect taxes} owed to {s1}.{***}
mno_town_leave|Leave...{***}
menu_town_raid_confirm|You've decided to raid this town, and you and your fellow pirates are loose on the streets!  There are 5 treasure chests within the town's walls: find them all and steal their contents to gain a great reward!{***}
mno_launch_raid|Launch the raid, arrr!{***}
mno_town_raid_change_mind|On second thought...{***}
menu_town_raid_finish|{s8} your party leaves the town.  Your party takes {reg0} casualties during the raid.  You've managed to collect {reg1} piastres in loot.{***}
mno_raid_return_strings_and_leave|Leave...{***}
menu_town_main_square|The main square hosts the most important buildings and institutions of the town. Bankers and guildmasters, garrison officers and the Governor himself have their homes and offices in this opulent district.{***}
mno_town_visit_1|Talk to {s2}.{***}
mno_town_visit_2|Talk to {s2}.{***}
mno_town_visit_3|Talk to {s2}.{***}
mno_town_visit_4|Talk to {s2}.{***}
mno_town_visit_5|Talk to {s2}.{***}
mno_town_enter_palace|Enter your palace.{***}
mno_quest_dinner|Attend the governor's dinner{***}
mno_quest_date_doughter|Meet the governor's daughter{***}
menu_town_main_shipyard|The harbor serves as the main gate of a port town. The docks and warehouses are bursting with activity day and night, loads of cargo and the very ships carrying them change hands every minute, and port taverns ever beckon the sailors thirsty for drink and some company.{***}
mno_town_main_shipmaster|Talk to the {s2}.{***}
menu_cannot_enter_court|There is a revel in progress in the governor's palace, but you are not of sufficient status to be invited inside. Perhaps increasing your renown would win you admittance -- or you might also try distinguishing yourself in the fighting pits while the revelling is in progress...{***}
menu_lady_visit|Whom do you wish to visit?{***}
mno_visit_lady_1|Visit {s12}.{***}
mno_visit_lady_2|Visit {s12}.{***}
mno_visit_lady_3|Visit {s12}.{***}
mno_visit_lady_4|Visit {s12}{***}
mno_visit_lady_5|Visit {s12}{***}
mno_visit_lady_6|Visit {s12}{***}
mno_visit_lady_7|Visit {s12}{***}
mno_visit_lady_8|Visit {s12}{***}
menu_town_tournament_lost|You have been eliminated from the tournament.{s8}{***}
menu_town_tournament_training_won|You have successfully pass the training.{s8}{***}
menu_town_tournament_training_lost|You have been beaten at the training.{s8}{***}
menu_town_tournament_won|You have won the tournament of {s3}! You are filled with pride as the crowd cheers your name.In addition to honour, fame and glory, you earn a prize of {reg9} piastres.{***}
menu_town_tournament_won_by_another|As the only {reg3?fighter:man} to remain undefeated this day, {s1} wins the lists and the glory of this tournament.{***}
menu_town_tournament_betting_result|As a result, you {s3} win the bet. Therefore, {s4}{***}
menu_town_tournament|{s1}You are at tier {reg0} of the tournament, with {reg1} participants remaining. In the next round, there will be {reg2} teams with {reg3} {reg4?fighters:fighter} each.{***}
mno_tournament_join_next_fight|Go to the next round.{***}
mno_leave_tournament|Withdraw from the tournament.{***}
menu_tournament_withdraw_verify|Are you sure you want to withdraw from the tournament?{***}
mno_tournament_withdraw_yes|Yes. This is a waste of my time and skills.{***}
mno_tournament_withdraw_no|No, not as long as there is a chance of victory!{***}
menu_tournament_bet|The odds against you are {reg5} to {reg6}.{reg1? You have already bet {reg1} piastres on yourself, and if you win, you will earn {reg2} piastres.:} How much do you want to bet?{***}
mno_bet_100_denars|100 piastres.{***}
mno_bet_50_denars|50 piastres.{***}
mno_bet_20_denars|20 piastres.{***}
mno_bet_10_denars|10 piastres.{***}
mno_bet_5_denars|5 piastres.{***}
menu_tournament_bet_confirm|If you bet {reg1} piastres, you will earn {reg2} piastres if you win the tournament. Is that all right?{***}
mno_tournament_bet_accept|Go ahead.{***}
mno_tournament_bet_cancel|Forget it.{***}
menu_tournament_participants|You ask one of the criers for the names of the tournament participants. They are:^{s11}{***}
menu_collect_taxes|As the officer with the highest trade skill ({reg2}), {reg3?you expect:{s1} expects} that collecting taxes from here will take {reg4} days...{***}
mno_start_collecting|Start collecting.{***}
mno_collect_later|Put it off until later.{***}
menu_collect_taxes_complete|You've collected taxes totaling {reg3} piastres in {s3}. {s19} expects you to take the money to {reg4?her:him}.{***}
menu_collect_taxes_rebels_killed|Your swift and decisive action have successfully put down the revolt in its infancy.Anyone with a mind to rebel against you will think twice before acting now.{***}
menu_collect_taxes_failed|You could only collect {reg3} piastres of taxes in {s3} before the revolt broke out.{s1} won't be happy, but some silver will placate him better than nothing at all...{***}
menu_collect_taxes_revolt_warning|The people of {s3} are outraged at your demands and decry it as nothing more than extortion.They're getting very restless, and they may react badly if you keep pressing them.{***}
mno_continue_collecting_taxes|Ignore them and continue.{***}
mno_halve_taxes|Agree to reduce your collection by half. ({s1} may be upset){***}
menu_collect_taxes_revolt|You are interrupted while collecting the taxes at {s3}. A large band of angry {reg9?peasants:townsfolk} is marching towards you,shouting about the exorbitant taxes and waving torches and weapons. Looks like you've got a rebellion at hand!{***}
menu_train_peasants_against_bandits|As the officer with the highest training skill ({reg2}), {reg3?you expect:{s1} expects} that getting some peasants ready for practice will take {reg4} hours.{***}
mno_make_preparation|Train them.{***}
mno_train_later|Put it off until later.{***}
menu_train_peasants_against_bandits_ready|You put the peasants through the basics of soldiering, discipline and obedience.You think {reg0} of them {reg1?have:has} fully grasped the training and {reg1?are:is} ready for some practice.{***}
mno_peasant_start_practice|Start the practice fight.{***}
menu_train_peasants_against_bandits_training_result|{s0}{***}
menu_train_peasants_against_bandits_attack|As you get ready to continue the training, a sentry from the village runs up to you, shouting alarm.The outlaws have been spotted nearby, riding hard for {s3}.The elder begs that you organize your newly-trained militia and face them.{***}
mno_peasants_against_bandits_attack_resist|Prepare for a fight!{***}
menu_train_peasants_against_bandits_attack_result|{s9}{***}
menu_train_peasants_against_bandits_success|The outlaws are broken!Those few who remain run off with their tails between their legs,terrified of the peasants and their new champion.The villagers have little left in the way of wealth after their ordeal,but they offer you all they can find to show their gratitude.{***}
menu_disembark|Do you wish to disembark?{***}
menu_ship_reembark|Do you wish to embark?{***}
mno_reembark_yes|Yes.{***}
mno_reembark_no|No.{***}
menu_center_reports|Town Name: {s1}^Rent Income: {reg1} piastres^Tariff Income: {reg2} piastres^Food Stock: for {reg3} days{***}
mno_to_price_and_productions|Show prices and production.{***}
menu_price_and_production|Production is:^(Note: base/modified by raw materials/modified by materials plus prosperity)^{s1}^^Price factors are:^{s2}{***}
menu_town_trade|The town's marketplace is busy with activity. The dockers are toting goods to and fro, driving endless stream of sacks, boxes and barrels to the harbor and back, as traders peddle their wares to the best of their ability - or, truth be told, the ability of their lungs.{***}
mno_trade_with_arms_merchant|Trade with the arms merchant.{***}
mno_trade_with_armor_merchant|Trade with the armor merchant.{***}
mno_trade_with_horse_merchant|Trade with the horse merchant.{***}
mno_back_to_town_menu|Head back.{***}
menu_dplmc_trade_auto_sell_begin|Your inventory items of the types marked as permitted for sale, whose pricesare below {reg1} piastres, will be sold to the {reg2?appropriate merchants:elder}in the current {reg2?town:village} automatically. Food, tradegoods and books will never be sold. ^^You can change the auto-sale settings below.{***}
mno_change_settings|Change settings.{***}
menu_dplmc_trade_auto_buy_food_begin|You will automatically buy food according to your shopping list. Do you want to continue?^^You can view and configure the shopping list below.{***}
mno_dplmc_change_shopping_list_of_food|Configure your shopping list.{***}
menu_town_trade_assessment_begin|You overhear several discussions about the price of trade goods across the local area.^You listen closely, trying to work out the best deals around.{***}
menu_town_trade_assessment|As the officer with the highest trade skill ({reg2}), {reg3?you try to figure out:{s1} tries to figure out} the best goods to trade in. {s2}{***}
menu_sneak_into_town_suceeded|Disguised in the garments of a plantation slave, you fool the guards and make your way into the town.{***}
menu_sneak_into_town_caught|As you try to sneak in, one of the guards recognizes you and raises the alarm!You must flee back through the gates before all the guards in the town come down on you!{***}
mno_sneak_caught_fight|Try to fight your way out!{***}
mno_sneak_caught_surrender|Surrender.{***}
menu_sneak_into_town_caught_dispersed_guards|You drive off the guards and cover your trail before running off, easily losing your pursuers in the maze of streets.{***}
menu_sneak_into_town_caught_ran_away|You make your way back through the gates and quickly retreat to the safety of the countryside.{s11}{***}
menu_enemy_offer_ransom_for_prisoner|{s2} offers you a sum of {reg12} piastres in silver if you are willing to sell him {s1}.{***}
mno_ransom_accept|Accept the offer.{***}
mno_ransom_reject|Reject the offer.{***}
menu_captivity_avoid_wilderness|Suddenly all the world goes black around you.Many hours later you regain your conciousness and find yourself at the spot you fell.Your enemies must have taken you up for dead and left you there.However, it seems that none of your wound were lethal,and altough you feel awful, you find out that can still walk.You get up and try to look for any other survivors from your company.{***}
menu_captivity_start_wilderness|Stub{***}
menu_captivity_start_wilderness_surrender|Stub{***}
menu_captivity_start_wilderness_defeat|Your enemies take you prisoner.{***}
menu_captivity_start_castle_surrender|Stub{***}
menu_captivity_start_castle_defeat|Stub{***}
menu_captivity_start_under_siege_defeat|Your enemies take you prisoner.{***}
menu_captivity_wilderness_taken_prisoner|Your enemies take you prisoner.{***}
menu_captivity_wilderness_check|stub{***}
menu_captivity_end_wilderness_escape|After painful days of being dragged about in chains, you find a chance and slip away from your tormentors!{***}
menu_captivity_castle_taken_prisoner|You are quickly surrounded by guards who take away your weapons. With curses and insults, they throw you into the prison where you must while away the miserable days of your captivity.{***}
menu_captivity_rescue_lord_taken_prisoner|You remain in disguise for as long as possible before revealing yourself.The guards are outraged and beat you savagely before throwing you back into the cell for God knows how long...{***}
menu_captivity_castle_check|stub{***}
menu_captivity_end_exchanged_with_prisoner|After days of imprisonment, you are finally set free when your captors exchange you with another prisoner.{***}
menu_captivity_end_propose_ransom|You spend long hours in the sunless dank of the prison, more than you can count.Suddenly, one of your guards enters your cell with an offer -your freedom in exchange for {reg5} piastres of your hidden wealth. You decide to...{***}
mno_captivity_end_ransom_accept|Accept the offer.{***}
mno_captivity_end_ransom_deny|Refuse him and wait for a better chance.{***}
menu_captivity_castle_remain|More days pass in the darkness of your cell. You get through them as best you can,enduring the beatings and insults of the guards, watching your underfed body waste away more and more...{***}
menu_kingdom_army_quest_report_to_army|{s8} sends word that he wishes you to join {reg4?her:his} new military campaign. You need to bring at least {reg13} soldiers to the army, and are instructed to raise more men with all due haste if you do not have enough.{***}
